city,entity_id,__last_seen,text,region,note,street,postal_code,country_code,country_name,street_2,__first_seen
,au-dfat-sanctions.4,2018-04-12 08:16:37.610877,nan,,,,,,,,2018-04-12 08:16:33.300027
,au-dfat-sanctions.25,2018-04-12 08:16:38.369373,nan,,,,,,,,2018-04-12 08:16:34.768418
,au-dfat-sanctions.6,2018-04-12 08:16:38.519487,nan,,,,,,,,2018-04-12 08:16:36.667205
,au-dfat-sanctions.31,2018-04-12 08:16:39.102931,nan,,,,,,,,2018-04-12 08:16:38.719538
,au-dfat-sanctions.38,2018-04-12 08:16:39.277994,nan,,,,,,,,2018-04-12 08:16:36.983349
,au-dfat-sanctions.30,2018-04-12 08:16:39.626086,nan,,,,,,,,2018-04-12 08:16:38.152093
,au-dfat-sanctions.49,2018-04-12 08:16:39.944844,nan,,,,,,,,2018-04-12 08:16:38.327085
,au-dfat-sanctions.44,2018-04-12 08:16:40.293130,nan,,,,,,,,2018-04-12 08:16:38.652490
,au-dfat-sanctions.36,2018-04-12 08:16:40.437504,nan,,,,,,,,2018-04-12 08:16:38.960775
,au-dfat-sanctions.9,2018-04-12 08:16:40.603159,nan,,,,,,,,2018-04-12 08:16:34.466387
,au-dfat-sanctions.26,2018-04-12 08:16:40.653175,nan,,,,,,,,2018-04-12 08:16:35.934989
,au-dfat-sanctions.52,2018-04-12 08:16:40.661890,nan,,,,,,,,2018-04-12 08:16:40.551443
,au-dfat-sanctions.27,2018-04-12 08:16:41.053153,nan,,,,,,,,2018-04-12 08:16:36.233400
,au-dfat-sanctions.20,2018-04-12 08:16:42.395231,nan,,,,,,,,2018-04-12 08:16:37.485583
,au-dfat-sanctions.42,2018-04-12 08:16:42.920437,nan,,,,,,,,2018-04-12 08:16:37.977106
,au-dfat-sanctions.78,2018-04-12 08:16:43.486939,nan,,,,,,,,2018-04-12 08:16:42.995409
,au-dfat-sanctions.100,2018-04-12 08:16:48.323132,nan,,,,,,,,2018-04-12 08:16:44.954284
,au-dfat-sanctions.88,2018-04-12 08:16:56.097779,nan,,,,,,,,2018-04-12 08:16:43.803967
,au-dfat-sanctions.307,2018-04-12 08:17:49.312590,nan,,,,,,,,2018-04-12 08:17:44.018781
,au-dfat-sanctions.370,2018-04-12 08:17:51.580830,nan,,,,,,,,2018-04-12 08:17:50.519988
,au-dfat-sanctions.485,2018-04-12 08:17:57.885378,nan,,,,,,,,2018-04-12 08:17:57.414215
,au-dfat-sanctions.526,2018-04-12 08:18:10.717672,nan,,,,,,,,2018-04-12 08:17:58.847878
,au-dfat-sanctions.300,2018-04-12 08:18:22.878947,nan,,,,,,,,2018-04-12 08:17:08.735758
,au-dfat-sanctions.398,2018-04-12 08:18:25.783612,nan,,,,,,,,2018-04-12 08:17:51.603444
,au-dfat-sanctions.651,2018-04-12 08:18:32.564173,nan,,,,,,,,2018-04-12 08:18:31.297647
,au-dfat-sanctions.672,2018-04-12 08:18:36.335513,nan,,,,,,,,2018-04-12 08:18:35.990215
,au-dfat-sanctions.671,2018-04-12 08:18:36.620799,nan,,,,,,,,2018-04-12 08:18:36.277162
,au-dfat-sanctions.63,2018-04-12 08:16:41.236447,nan,,,,,,,,2018-04-12 08:16:39.302436
,au-dfat-sanctions.66,2018-04-12 08:16:42.970067,nan,,,,,,,,2018-04-12 08:16:41.186476
,au-dfat-sanctions.79,2018-04-12 08:16:43.837111,nan,,,,,,,,2018-04-12 08:16:41.936746
,au-dfat-sanctions.73,2018-04-12 08:16:43.979188,nan,,,,,,,,2018-04-12 08:16:41.619909
,au-dfat-sanctions.68,2018-04-12 08:16:44.954980,nan,,,,,,,,2018-04-12 08:16:42.086674
,au-dfat-sanctions.80,2018-04-12 08:16:45.079377,nan,,,,,,,,2018-04-12 08:16:42.502873
,au-dfat-sanctions.99,2018-04-12 08:16:45.287756,nan,,,,,,,,2018-04-12 08:16:45.272457
,au-dfat-sanctions.72,2018-04-12 08:16:46.121373,nan,,,,,,,,2018-04-12 08:16:41.378250
,au-dfat-sanctions.87,2018-04-12 08:16:47.138044,nan,,,,,,,,2018-04-12 08:16:43.178669
,au-dfat-sanctions.97,2018-04-12 08:16:47.854974,nan,,,,,,,,2018-04-12 08:16:44.187282
,au-dfat-sanctions.105,2018-04-12 08:16:48.363593,nan,,,,,,,,2018-04-12 08:16:46.287784
,au-dfat-sanctions.92,2018-04-12 08:16:49.688689,nan,,,,,,,,2018-04-12 08:16:43.837200
,au-dfat-sanctions.101,2018-04-12 08:16:56.239564,nan,,,,,,,,2018-04-12 08:16:45.454354
