first_name,last_name,description,quality,title,third_name,__last_seen,entity_id,father_name,type,second_name,name,__first_seen
,,,,,,2018-04-12 08:16:32.999592,au-dfat-sanctions.19,,,,Nik Mohammad (previously listed as),2018-04-12 08:16:32.999592
,,,,,,2018-04-12 08:16:34.397010,au-dfat-sanctions.11,,,,Naib Imam,2018-04-12 08:16:34.397010
,,,,,,2018-04-12 08:16:35.685716,au-dfat-sanctions.21,,,,Shahidwror,2018-04-12 08:16:35.685716
,,,,,,2018-04-12 08:16:36.966615,au-dfat-sanctions.38,,,,Abdul Baqi (previously listed as),2018-04-12 08:16:36.966615
,,,,,,2018-04-12 08:16:37.459141,au-dfat-sanctions.24,,,,Mullah Baradar Akhund,2018-04-12 08:16:36.102053
,,,,,,2018-04-12 08:16:37.485606,au-dfat-sanctions.22,,,,Obaid Ullah Akhund,2018-04-12 08:16:37.183210
,,,,,,2018-04-12 08:16:37.485993,au-dfat-sanctions.24,,,,Abdul Ghani Baradar,2018-04-12 08:16:37.485993
,,,,,,2018-04-12 08:16:37.960415,au-dfat-sanctions.42,,,,Ibrahim Haqqani,2018-04-12 08:16:37.960415
,,,,,,2018-04-12 08:16:38.344194,au-dfat-sanctions.13,,,,Mawlawi Gul Mohammad,2018-04-12 08:16:38.344194
,,,,,,2018-04-12 08:16:41.003308,au-dfat-sanctions.27,,,,Mullah Mohammad Nasim Hanafi,2018-04-12 08:16:36.135117
,,,,,,2018-04-12 08:16:41.019850,au-dfat-sanctions.27,,,,Abdussalam Hanifi,2018-04-12 08:16:36.468449
,,,,,,2018-04-12 08:16:42.394903,au-dfat-sanctions.13,,,,Gul Mohammad Kamran,2018-04-12 08:16:35.092046
,,,,,,2018-04-12 08:16:42.502199,au-dfat-sanctions.13,,,,Spen Zrae,2018-04-12 08:16:38.327443
,,,,,,2018-04-12 08:16:43.178784,au-dfat-sanctions.40,,,,Jalaluddin Haqani,2018-04-12 08:16:37.041607
,,,,,,2018-04-12 08:16:43.437203,au-dfat-sanctions.13,,,,Haji Ghul Mohammad,2018-04-12 08:16:35.075425
,,,,,,2018-04-12 08:16:44.220538,au-dfat-sanctions.13,,,,Gul Mohammad,2018-04-12 08:16:35.059323
,,,,,,2018-04-12 08:16:44.937767,au-dfat-sanctions.83,,,,Ehsanullah Sarfida,2018-04-12 08:16:44.937767
,,,,,,2018-04-12 08:16:45.195995,au-dfat-sanctions.96,,,,Gud Mullah Mohammad Hassan,2018-04-12 08:16:45.195995
,,,,,,2018-04-12 08:16:46.337956,au-dfat-sanctions.71,,,,Najibullah Haqani,2018-04-12 08:16:41.570379
,,,,,,2018-04-12 08:16:46.537983,au-dfat-sanctions.85,,,,Ahmed Jan Akhund,2018-04-12 08:16:46.537983
,,,,,,2018-04-12 08:16:50.539026,au-dfat-sanctions.130,,,,Abdul Ghaffar Qureshi,2018-04-12 08:16:50.139052
,,,,,,2018-04-12 08:16:55.955939,au-dfat-sanctions.153,,,,Salem Ahmed Salem Hamdan,2018-04-12 08:16:55.955939
,,,,,,2018-04-12 08:16:57.247989,au-dfat-sanctions.157,,,,Groupe Islamique Arme,2018-04-12 08:16:57.247989
,,,,,,2018-04-12 08:16:57.773295,au-dfat-sanctions.137,,,,Rehmatullah,2018-04-12 08:16:48.038069
,,,,,,2018-04-12 08:16:58.606886,au-dfat-sanctions.83,,,,Ehsanullah Sarfadi,2018-04-12 08:16:44.862545
,,,,,,2018-04-12 08:16:58.708923,au-dfat-sanctions.160,,,,IMU,2018-04-12 08:16:58.708923
,,,,,,2018-04-12 08:16:59.024480,au-dfat-sanctions.162,,,,GSPC,2018-04-12 08:16:59.024480
,,,,,,2018-04-12 08:16:59.288920,au-dfat-sanctions.85,,,,Haji Ahmad Jan,2018-04-12 08:16:46.520034
,,,,,,2018-04-12 08:17:01.866595,au-dfat-sanctions.167,,,,Mafouz Walad Al-Walid,2018-04-12 08:17:01.866595
,,,,,,2018-04-12 08:17:03.425062,au-dfat-sanctions.167,,,,Abu Hafs the Mauritanian,2018-04-12 08:16:58.214730
,,,,,,2018-04-12 08:17:03.441640,au-dfat-sanctions.167,,,,Khalid Al-Shanqiti,2018-04-12 08:17:01.849787
,,,,,,2018-04-12 08:17:03.805815,au-dfat-sanctions.196,,,,Ali Saed Bin Ali AL-HOURI,2018-04-12 08:17:00.428383
,,,,,,2018-04-12 08:17:04.600307,au-dfat-sanctions.198,,,,"AHMED, A",2018-04-12 08:17:01.041147
,,,,,,2018-04-12 08:17:06.689612,au-dfat-sanctions.198,,,,FUPI,2018-04-12 08:17:00.980088
,,,,,,2018-04-12 08:16:38.935910,au-dfat-sanctions.49,,,,Hottak Sahib,2018-04-12 08:16:38.310560
,,,,,,2018-04-12 08:16:44.095612,au-dfat-sanctions.93,,,,Khirullah Said Wali Khairkhwa,2018-04-12 08:16:44.095612
,,,,,,2018-04-12 08:16:46.296502,au-dfat-sanctions.93,,,,Mullah Khairullah Khairkhwah,2018-04-12 08:16:44.028813
,,,,,,2018-04-12 08:16:46.896058,au-dfat-sanctions.111,,,,Sanani,2018-04-12 08:16:46.896058
,,,,,,2018-04-12 08:16:47.071235,au-dfat-sanctions.87,,,,Sadruddin,2018-04-12 08:16:43.112058
,,,,,,2018-04-12 08:16:47.487914,au-dfat-sanctions.118,,,,Janat Gul,2018-04-12 08:16:47.279685
,,,,,,2018-04-12 08:16:48.147142,au-dfat-sanctions.102,,,,Ziaurrahman Madani,2018-04-12 08:16:44.987259
,,,,,,2018-04-12 08:16:48.163523,au-dfat-sanctions.102,,,,Zaia u Rahman Madani,2018-04-12 08:16:45.004086
,,,,,,2018-04-12 08:16:48.663417,au-dfat-sanctions.107,,,,Aminullah Amin,2018-04-12 08:16:48.663417
,,,,,,2018-04-12 08:16:49.405019,au-dfat-sanctions.141,,,,al-Hammad,2018-04-12 08:16:49.405019
,,,,,,2018-04-12 08:16:50.530369,au-dfat-sanctions.149,,,,Seif al Adel,2018-04-12 08:16:50.530369
,,,,,,2018-04-12 08:16:55.004212,au-dfat-sanctions.149,,,,Ibrahim al-Madani,2018-04-12 08:16:50.513642
,,,,,,2018-04-12 08:16:55.180550,au-dfat-sanctions.23,,,,Molah Fazl,2018-04-12 08:16:35.634682
,,,,,,2018-04-12 08:16:55.198198,au-dfat-sanctions.23,,,,Fazel Mohammad Mazloom,2018-04-12 08:16:55.198198
,,,,,,2018-04-12 08:16:55.514038,au-dfat-sanctions.142,,,,Abdul Hai Hazem,2018-04-12 08:16:55.514038
,,,,,,2018-04-12 08:16:38.352524,au-dfat-sanctions.25,,,,Mullah Abdul Rauf Aliza,2018-04-12 08:16:38.352524
,,,,,,2018-04-12 08:16:39.244678,au-dfat-sanctions.33,,,,Abdul Rehman Zahid,2018-04-12 08:16:36.933255
,,,,,,2018-04-12 08:16:45.979662,au-dfat-sanctions.72,,,,Sayed Ghias,2018-04-12 08:16:41.945121
,,,,,,2018-04-12 08:16:45.996424,au-dfat-sanctions.72,,,,Sayed Ghiasuddin Sayed Ghousuddin,2018-04-12 08:16:41.961704
,,,,,,2018-04-12 08:16:46.104763,au-dfat-sanctions.72,,,,Sayyed Ghayasudin,2018-04-12 08:16:41.978520
,,,,,,2018-04-12 08:16:47.054448,au-dfat-sanctions.87,,,,Sadudin Sayed,2018-04-12 08:16:43.095634
,,,,,,2018-04-12 08:16:56.431110,au-dfat-sanctions.21,,,,Akhund,2018-04-12 08:16:35.634235
,,,,,,2018-04-12 08:16:56.506261,au-dfat-sanctions.106,,,,Mohammad Shafiq Ahmadi Fatih Khan,2018-04-12 08:16:48.355524
,,,,,,2018-04-12 08:16:57.239650,au-dfat-sanctions.149,,,,Mohammed Salahaldin Abd El Halim Zidan,2018-04-12 08:16:50.220718
