last_name,__last_seen,third_name,updated_at,father_name,id,first_name,title,source,program,type,function,listed_at,name,url,gender,summary,second_name,__first_seen
Kurlovich,2018-05-01 01:04:17.794208,,2018-04-26,Anatolievich,ch-seco-sanctions.4555,Uladzimir,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,,,Uladzimir Anatolievich Kurlovich,,,"Has actively undermined democracy in Belarus. Former Сhairman of the Regional Electoral Commission of the Minsk region. As Chairman of a Regional Electoral Commission, he was directly responsible for the violations of international electoral standards in the Presidential elections, in particular in 2006 in the Minsk region.",,2018-04-12 07:30:42.060090
Padaliak,2018-05-01 01:04:18.640449,,2018-04-26,Vasilievich,ch-seco-sanctions.4708,Eduard,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,,,Eduard Vasilievich Padaliak,,,"Deputy Chairman of the pro-regime Belarusian scientific-industrial association. Has actively undermined democracy in Belarus. As a former Member of the Central Electoral Commission, he was responsible for the violations of international electoral standards in the Presidential elections on 19 December 2010.",,2018-04-12 07:30:45.318841
Sauko,2018-05-01 01:04:18.789092,,2018-04-26,Iosifavich,ch-seco-sanctions.4732,Valery,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,Travel ban according to article 3 paragraph 1 and financial sanctions according to article 1 do not apply until 15 March 2016.,,Valery Iosifavich Sauko,,,"Head of the Grodno branch of the pro-regime trade union. Former Head of Regional Election Commission (REC) of Grodno Region for the presidential election of 2010 and the local elections of March 2014. As Chairman of a Regional Electoral Commission, he was responsible for the violations of international electoral standards in the presidential elections on 19 Dec 2010, and for the falsifications in the local elections of March 2014 in the Grodno region.",,2018-04-12 07:30:43.499080
Berastau,2018-05-01 01:04:19.134726,,2018-04-26,Vasilievich,ch-seco-sanctions.4740,Valery,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,,,Valery Vasilievich Berastau,,,"Head of the regional office of the Statistics Committee. Former Head of Regional Election Commission in the Mogilev region for the Presidential election of 2010. As the Chairman of a Regional Electoral Commission, he was responsible for the violations of international electoral standards in the Presidential elections on 19 December 2010 in the Mogilev region.",,2018-04-12 07:30:43.333151
Guseu,2018-05-01 01:04:18.518924,,2018-04-26,Viktaravich,ch-seco-sanctions.4648,Aliaksei,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,,,Aliaksei Viktaravich Guseu,,,"Responsible for organising and implementing the dissemination of falsified information through the state-controlled media. Former first Deputy Director of the Information and Analytical Centre of the President's Administration. A source and voice of state propaganda, which provokes, supports and justifies the repression of the democratic opposition and of civil society. democratic opposition and civil society are systematically highlighted in a negative and derogatory way using falsified information.",,2018-04-12 07:30:43.272583
Konan,2018-05-01 01:04:19.680008,,2018-04-26,Aliaksandravich,ch-seco-sanctions.4757,Viktar,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,Travel ban according to article 3 paragraph 1 and financial sanctions according to article 1 do not apply until 15 March 2016.,,Viktar Aliaksandravich Konan,,,"Has actively undermined democracy in Belarus. In his former role of Deputy Prosecutor General until 2012, he was in charge and directly involved in all the intelligence activities carried out by the Prosecutor General's office against independent and opposition entities, including in 2010.",,2018-04-12 07:30:43.987825
Rusak,2018-05-01 01:04:22.561449,,2018-04-26,Uladzimiravich,ch-seco-sanctions.4886,Viktar,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,Travel ban according to article 3 paragraph 1 and financial sanctions according to article 1 do not apply until 15 March 2016.,,Viktar Uladzimiravich Rusak,,,"Member of the Lower Chamber of the Parliament, Deputy Chairman of Standing Committee on National security, Deputy Head of the Committee on National Security. Former Head of the KGB Board on Economic Security. He was responsible for the repressive activity of the KGB against civil society and democratic opposition.",,2018-04-12 07:30:44.235143
Sivakau,2018-05-01 01:04:18.780514,,2018-04-26,Leanidavich,ch-seco-sanctions.4610,Iury,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,,,Iury Leanidavich Sivakau,,,"Orchestrated the unresolved disappearances of Yuri Zakharenko, Viktor Gonchar, Anatoly Krasovski and Dmitri Zavadski in Belarus in 1999–2000. Former Minister of Tourism and Sports, former Minister of Interior and former Deputy Head of the Presidential Administration.",,2018-04-12 07:30:43.417944
Zhuk,2018-05-01 01:04:23.903141,,2018-04-26,Aliaksandravich,ch-seco-sanctions.5007,Dzmitry,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,Travel ban according to article 3 paragraph 1 and financial sanctions according to article 1 do not apply until 15 March 2016.,,Dzmitry Aliaksandravich Zhuk,,,"Director General (CEO) State News Agency BELTA since May 2003. Responsible for relaying state propaganda in the media, which has supported and justified the repression of the democratic opposition and of civil society on 19 Dec 2010 using falsified information.",,2018-04-12 07:30:46.861452
,2018-05-01 01:04:27.429938,,2018-04-26,,ch-seco-sanctions.1129,,,ch-seco-sanctions,"Ordinance of 7 August 1990 on economic measures against the Republic of Iraq (SR 946.206), annex",individual,,,Uday Saddam Hussein Al-Tikriti,,,Saddam’s Eldest Son; Leader Of Paramilitary Organization Fedayeen Saddam,,2018-04-12 07:31:03.857663
Iancheuski,2018-05-01 01:04:18.924162,,2018-04-26,Viachaslavavich,ch-seco-sanctions.4666,Usevalad,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,Travel ban according to article 3 paragraph 1 and financial sanctions according to article 1 do not apply until 15 March 2016.,,Usevalad Viachaslavavich Iancheuski,,,"Assistant to the President, Head of the Ideological Department of the President's Administration. He is the main creator of the regime's ideology and state propaganda, which supports and justifies the repression of the democratic opposition and of civil society. Democratic opposition and civil society are systematically highlighted in a negative and derogatory way using falsified information.",,2018-04-12 07:30:43.888306
Kaziiatka,2018-05-01 01:04:23.151885,,2018-04-26,Vasilievich,ch-seco-sanctions.4969,Iury,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,Travel ban according to article 3 paragraph 1 and financial sanctions according to article 1 do not apply until 15 March 2016.,,Iury Vasilievich Kaziiatka,,,"Member of the Upper House of the Parliament, appointed by Alexandr Lukashenka. General Director of the public TV channel «Stolichnoe Televidenie», author and anchorman of the TV programme «The picture of the world». This programme is an instrument of state propaganda which supports and justifies the repression of the democratic opposition and of civil society. Democratic opposition and civil society are systematically highlighted in a negative and derogatory way using falsified information. He was particularly active in this regard after the crackdown on peaceful demonstrations on 19 Dec 2010  and on subsequent protests.",,2018-04-12 07:30:52.510805
,2018-05-01 01:04:27.536274,,2018-04-26,,ch-seco-sanctions.5840,,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",entity,Financial sanctions according to article 1 do not apply until 15 March 2016.,,Spetspriborservice,,,This company is part of the Beltech Holding.,,2018-04-12 07:31:10.857233
Stosh,2018-05-01 01:04:19.118485,,2018-04-26,Mikalaevich,ch-seco-sanctions.4728,Mikalai,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,,,Mikalai Mikalaevich Stosh,,,"Former Head of Regional Election Commission of the Gomel region for the Presidential election of 2010. As Chairman of a Regional Electoral Commission, he was responsible for the violations of international electoral standards in the Presidential elections on 19 December 2010 in the Gomel region.",,2018-04-12 07:30:43.896766
Varapaev,2018-05-01 01:04:20.836970,,2018-04-26,Ryhoravich,ch-seco-sanctions.4894,Ihar,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,,,Ihar Ryhoravich Varapaev,,,"Deputy General Manager for Scientific work of the company ""Research Institute on electronic computers"" under the control of the State military-industrial committee and former Head of the KGB Board on State Communications. Responsible for the repressive work of the KGB against civil society and democratic opposition.",,2018-04-12 07:30:44.310197
Iakubovich,2018-05-01 01:04:22.090426,,2018-04-26,Izotavich,ch-seco-sanctions.4974,Pavel,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,Travel ban according to article 3 paragraph 1 and financial sanctions according to article 1 do not apply until 15 March 2016.,,Pavel Izotavich Iakubovich,,,"Editor-in-Chief of the newspaper of the President's Administration and main propaganda newspaper «Sovietskaia Belarus», former Member of the Upper House of the Parliament appointed by President Lukashenka. He is one of the most vocal and influential members of the state propaganda machine in the printed press. He has supported and justified the repression of the democratic opposition and of civil society, which are systematically highlighted in a negative and derogatory way using falsified information. He was particularly active in this regard after the crackdown on peaceful demonstrations on 19 Dec 2010 and on subsequent protests.",,2018-04-12 07:30:52.209957
Shchurok,2018-05-01 01:04:19.336714,,2018-04-26,Antonavich,ch-seco-sanctions.4716,Ivan,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,Travel ban according to article 3 paragraph 1 and financial sanctions according to article 1 do not apply until 15 March 2016.,,Ivan Antonavich Shchurok,,,"Member of the Central Electoral Commission (CEC) and Head of the Department of Education in the Vitebsk regional administration. As a Member of the Central Electoral Commission, he was responsible for the violations of international electoral standards in the Presidential elections on 19 Dec 2010 and in the Parliamentary elections of September 2012.",,2018-04-12 07:30:43.418135
Mikhalchanka,2018-05-01 01:04:21.820421,,2018-04-26,Yakaulevich,ch-seco-sanctions.4987,Aliaksei,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,,,Aliaksei Yakaulevich Mikhalchanka,,,"Journalist of the state TV channel ONT with senior and influential position. He is the anchorman of the TV programme «That is how it is». This programme is an instrument of state propaganda on TV, which supports and justifies the repression of the democratic opposition and of civil society. The opposition and civil society are systematically highlighted in a negative and derogatory way using falsified information. He was particularly active in this regard after the crackdown on peaceful demonstrations on 19 December 2010 and on subsequent protests.",,2018-04-12 07:30:44.529444
Pykina,2018-05-01 01:04:25.282693,,2018-04-26,Mikhailauna,ch-seco-sanctions.5245,Natallia,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,Travel ban according to article 3 paragraph 1 and financial sanctions according to article 1 do not apply.,,Natallia Mikhailauna Pykina,,,"Responsible for implementing the politically-motivated administrative and criminal sanctions against representatives of civil society. Judge of the Partizanski District Court dealing with Likhovid's case. On 29 Mar 2011, she sentenced Mr. Likhovid, an activist of «The Movement for Freedom», to three-and-a-half years in prison. She has been appointed Deputy Chairman of the Partizanski District Court of Minsk.",,2018-04-12 07:30:54.137996
Bileichyk,2018-05-01 01:04:19.603478,,2018-04-26,Uladzimiravich,ch-seco-sanctions.4807,Aliaksandr,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,Travel ban according to article 3 paragraph 1 and financial sanctions according to article 1 do not apply until 15 March 2016.,,Aliaksandr Uladzimiravich Bileichyk,,,"Former first Deputy Minister of Justice (until December 2014), in charge of the judicial services, the civil status and the notaries' services. His functions include the supervision of, and control over, the Legal Bar. He has played a major role in almost systematically debarring lawyers who defended political prisoners.",,2018-04-12 07:30:45.911214
Zhadobin,2018-05-01 01:04:22.189625,,2018-04-26,Viktaravich,ch-seco-sanctions.4946,Iury,,ch-seco-sanctions,"Ordinance of 28 June 2006 on measures against Belarus (SR 946.231.116.9), annex",individual,Travel ban according to article 3 paragraph 1 and financial sanctions according to article 1 do not apply until 15 March 2016.,,Iury Viktaravich Zhadobin,,,"Former Minister of Defence. He was actively involved in undermining democracy in Belarus. As a member of the Security Council, he approved the repressive decisions agreed at ministerial level, including the decision to repress the peaceful demonstrations on 19 Dec 2010. After December 2010, he praised the ""total defeat of destructive forces"", when referring to the democratic opposition.",,2018-04-12 07:31:01.557849
