entity_id,description,__last_seen,place,country_code,country_name,quality,__first_seen
ch-seco-sanctions.13352,,2018-05-01 01:04:36.100497,"Rafsanjan, Kerman",,,strong,2018-04-12 07:32:30.401628
ch-seco-sanctions.15474,,2018-05-01 01:04:50.040903,El Gharbia Governorate,EG,Egypt,strong,2018-04-12 07:34:07.744246
ch-seco-sanctions.14654,,2018-05-01 01:04:50.983676,,MA,Morocco,strong,2018-04-12 07:34:00.414210
ch-seco-sanctions.16706,,2018-05-01 01:04:52.319071,Bizerta,TN,Tunisia,strong,2018-04-12 07:34:13.736064
ch-seco-sanctions.18051,,2018-05-01 01:04:53.818289,"Kohistan District, Faryab Province",AF,Afghanistan,strong,2018-04-12 07:34:16.052962
ch-seco-sanctions.18592,,2018-05-01 01:04:54.502016,"Moni village; Shigal District, Kunar Province",,,strong,2018-04-12 07:34:17.912638
ch-seco-sanctions.18174,,2018-05-01 01:04:54.518861,"Zurmat District, Paktia Province",AF,Afghanistan,strong,2018-04-12 07:34:17.153643
ch-seco-sanctions.35767,,2018-05-01 01:05:03.886973,"Iki-Burul Village; Iki-Burulskiy District, Republic of Kalmykia",RU,Russian Federation,strong,2018-04-12 07:34:33.250396
ch-seco-sanctions.35695,,2018-05-01 01:05:10.202259,Aleppo,SY,Syrian Arab Republic,strong,2018-04-12 07:34:45.210082
ch-seco-sanctions.27287,,2018-05-01 01:05:14.007253,Beltsy,MD,Moldova,strong,2018-04-12 07:34:50.302209
ch-seco-sanctions.28249,,2018-05-01 01:05:15.890412,Kakhovka; Kherson Oblast,,,strong,2018-04-12 07:34:52.269189
ch-seco-sanctions.28521,,2018-05-01 01:05:16.674416,Zagorsk; Sergiev Posad,RU,Russian Federation,strong,2018-04-12 07:34:52.452985
ch-seco-sanctions.30455,,2018-05-01 01:05:19.076013,"Krasny Luch; Voroshilovgrad, Lugansk region",,,strong,2018-04-12 07:34:54.245979
ch-seco-sanctions.37050,,2018-05-01 01:05:19.818363,Salair; Kemerovskaya Oblast,RU,Russian Federation,strong,2018-04-12 07:34:54.970988
ch-seco-sanctions.11198,,2018-05-01 01:04:40.083834,Nadjaf,IQ,Iraq,strong,2018-04-12 07:32:34.118102
ch-seco-sanctions.14396,,2018-05-01 01:04:46.289460,Médéa,DZ,Algeria,strong,2018-04-12 07:33:59.313881
ch-seco-sanctions.15811,,2018-05-01 01:04:49.949200,Alexandria,EG,Egypt,strong,2018-04-12 07:34:09.407342
ch-seco-sanctions.16356,,2018-05-01 01:04:50.883300,"Sambi; Boyolali, Java",ID,Indonesia,strong,2018-04-12 07:34:11.034482
ch-seco-sanctions.15883,,2018-05-01 01:04:50.991595,Sfax,TN,Tunisia,strong,2018-04-12 07:34:10.742822
ch-seco-sanctions.15883,,2018-05-01 01:04:51.099910,Sereka,YU,Yugoslavia,strong,2018-04-12 07:34:10.800470
ch-seco-sanctions.16771,,2018-05-01 01:04:52.325772,Monufia Governorate,EG,Egypt,strong,2018-04-12 07:34:14.810828
ch-seco-sanctions.16771,,2018-05-01 01:04:52.342444,,EG,Egypt,strong,2018-04-12 07:34:14.944426
ch-seco-sanctions.18646,,2018-05-01 01:04:53.643144,"Zurmat District, Paktia Province",AF,Afghanistan,strong,2018-04-12 07:34:26.623313
ch-seco-sanctions.17843,,2018-05-01 01:04:54.185344,"Yatimak village; Dehrawood District, Uruzgan Province",AF,Afghanistan,strong,2018-04-12 07:34:15.644574
ch-seco-sanctions.18301,,2018-05-01 01:04:54.201743,"Robat village; Spin Boldak District, Kandahar Province",AF,Afghanistan,strong,2018-04-12 07:34:17.137064
ch-seco-sanctions.27307,,2018-05-01 01:05:14.646807,Sevastopol,,,strong,2018-04-12 07:34:50.477419
ch-seco-sanctions.27597,,2018-05-01 01:05:15.973871,Makiivka; Donetsk Oblast,,,strong,2018-04-12 07:34:51.402605
ch-seco-sanctions.30424,,2018-05-01 01:05:19.049997,Lysychansk; Luhansk Oblast,UA,Ukraine,strong,2018-04-12 07:34:54.339641
ch-seco-sanctions.37058,,2018-05-01 01:05:20.010163,Ust-Labinsk; Krasnodar Region,RU,Russian Federation,strong,2018-04-12 07:34:54.254460
ch-seco-sanctions.13560,,2018-05-01 01:04:44.436803,Kairouan,TN,Tunisia,strong,2018-04-12 07:33:24.142029
ch-seco-sanctions.13961,,2018-05-01 01:04:45.178677,Uneizah,SA,Saudi Arabia,strong,2018-04-12 07:33:26.934479
ch-seco-sanctions.14329,,2018-05-01 01:04:47.881290,Manzal Tmim; Nabul,TN,Tunisia,strong,2018-04-12 07:34:00.981456
ch-seco-sanctions.15588,,2018-05-01 01:04:50.074518,München,DE,Germany,strong,2018-04-12 07:34:09.357291
ch-seco-sanctions.15588,,2018-05-01 01:04:50.183008,Liege,BE,Belgium,strong,2018-04-12 07:34:09.373984
ch-seco-sanctions.16157,,2018-05-01 01:04:50.406226,Algiers,DZ,Algeria,strong,2018-04-12 07:34:11.109142
ch-seco-sanctions.15775,,2018-05-01 01:04:50.683077,Riyadh,SA,Saudi Arabia,strong,2018-04-12 07:34:10.541776
ch-seco-sanctions.16258,,2018-05-01 01:04:50.866675,Arbil,IQ,Iraq,strong,2018-04-12 07:34:11.126114
ch-seco-sanctions.16258,,2018-05-01 01:04:50.883285,Baghdad,IQ,Iraq,strong,2018-04-12 07:34:11.142959
