last_name,__last_seen,third_name,updated_at,father_name,id,first_name,title,source,program,type,function,listed_at,name,url,gender,summary,second_name,__first_seen
,2018-05-01 01:09:45.248654,,2017-03-10,,eu-eeas-sanctions.696,,,eu-eeas-sanctions,AFG,individual,First Secretary Taliban ‘Consulate General’ Karachi,,Noorani Mufti Mohammad Aleem,http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017R0404&from=EN,,"(Entity is sanctioned in regime 753/2011 (OJ L199) of programme AFG, in regime 881/2002 (OJ L139) of programme TAQA)",,2018-04-12 07:35:45.680622
,2018-05-01 01:09:46.106247,,2017-03-10,,eu-eeas-sanctions.711,,Mullah,eu-eeas-sanctions,AFG,individual,Minister of Communication,,Rahimi Yar Mohammad,http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017R0404&from=EN,,"(Entity is sanctioned in regime 753/2011 (OJ L199) of programme AFG, in regime 881/2002 (OJ L139) of programme TAQA)",,2018-04-12 07:35:46.699991
,2018-05-01 01:09:48.080305,,2002-05-27,,eu-eeas-sanctions.748,,Mullah,eu-eeas-sanctions,TAQA,individual,Mayor of Kabul City,,Sayed Alhaj Sadudin,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2002:139:0009:0022:EN:PDF,,,,2018-04-12 07:35:47.780950
Qasim,2018-05-01 01:09:53.508428,,2017-03-10,,eu-eeas-sanctions.831,Nooruddin,Mullah,eu-eeas-sanctions,AFG,individual,Minister of Justice of the Taliban regime,,Nooruddin Turabi Muhammad Qasim,http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017R0404&from=EN,,"(Entity is sanctioned in regime 753/2011 (OJ L199) of programme AFG, in regime 881/2002 (OJ L139) of programme TAQA)",Turabi Muhammad,2018-04-12 07:35:47.715750
Ben Soltane,2018-05-01 01:09:53.880964,,2015-01-17,,eu-eeas-sanctions.937,Adel,,eu-eeas-sanctions,TAQA,individual,,,Adel Ben Al-Azhar Ben Youssef Ben Soltane,http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:2015:011:FULL&from=EN,male,,Ben Al-Azhar Ben Youssef,2018-04-12 07:35:48.568463
Mostafa,2018-05-01 01:09:56.261789,,2016-10-30,,eu-eeas-sanctions.1092,Mohamed,,eu-eeas-sanctions,TAQA,individual,,,Mohamed Amin Mostafa,http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R1906&from=EN,male,(Under administrative control measure in Italy scheduled to expire on 15 January 2012.),Amin,2018-04-12 07:35:53.174318
,2018-05-01 01:09:44.633811,,2017-03-10,,eu-eeas-sanctions.651,,Maulavi,eu-eeas-sanctions,AFG,individual,"Education Attaché, Taliban Consulate General, Peshawar, Pakistan.",,Abdul Quddus Mazhari,http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017R0404&from=EN,,"(Date of UN designation: 2001-01-25) (Belongs to Popalzai tribe. Review pursuant to Security Council Resolution 1822 (2008) was concluded on 27 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/ notice/search/un/1446044) (Entity is sanctioned in regime 753/2011 (OJ L199) of programme AFG, in regime 881/2002 (OJ L139) of programme TAQA)",,2018-04-12 07:35:43.891560
,2018-05-01 01:08:04.639957,,2017-03-10,,eu-eeas-sanctions.547,,Maulavi,eu-eeas-sanctions,AFG,individual,"(a) Deputy Minister of Preventing Vice and Propagating Virtue under the Taliban regime, (b) Secretary- General of the Afghan Red Crescent Society (ARCS) under the Taliban regime.",,Sayed Esmatullah Asem Abdul Quddus,http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017R0404&from=EN,,"(Date of UN designation: 2001-02-23) (Believed to be in Afghanistan/ Pakistan border area. Review pursuant to Security Council Resolution 1822 (2008) was concluded on 1 Jun. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1427438) (Entity is sanctioned in regime 753/2011 (OJ L199) of programme AFG, in regime 881/2002 (OJ L139) of programme TAQA)",,2018-04-12 07:35:40.726027
,2018-05-01 01:09:45.189075,,2017-03-10,,eu-eeas-sanctions.649,,Mullah,eu-eeas-sanctions,AFG,individual,"Director, Kabul Custom House under the Taliban regime",,Matiullah,http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017R0404&from=EN,,"(Entity is sanctioned in regime 753/2011 (OJ L199) of programme AFG, in regime 881/2002 (OJ L139) of programme TAQA)",,2018-04-12 07:35:43.619039
,2018-05-01 01:09:08.827845,,2017-03-10,,eu-eeas-sanctions.594,,Maulavi,eu-eeas-sanctions,AFG,individual,Governor of Wardak (Maidan) Province,,Hamsudin,http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017R0404&from=EN,,"(Entity is sanctioned in regime 753/2011 (OJ L199) of programme AFG, in regime 881/2002 (OJ L139) of programme TAQA)",,2018-04-12 07:35:43.453392
