city,entity_id,__last_seen,text,region,note,street,postal_code,country_code,country_name,street_2,__first_seen
,gb-hmt-sanctions.9003,2018-04-26 12:55:11.300991,,,,,,,,,2018-04-12 08:16:29.241905
,gb-hmt-sanctions.12702,2018-04-26 12:44:35.752167,"Abdul Manan Chowk, Pashtunabad, Quetta, Baluchistan Province",,,,,PK,Pakistan,,2018-04-12 08:17:14.770940
,gb-hmt-sanctions.8287,2018-04-26 12:44:05.094993,Amman,,,,,JO,Jordan,,2018-04-12 08:16:17.591632
,gb-hmt-sanctions.11907,2018-04-26 12:44:23.884488,,,,,,,,,2018-04-12 08:16:49.438838
,gb-hmt-sanctions.11651,2018-04-26 12:44:24.256059,,,,,,,,,2018-04-12 08:16:40.169375
,gb-hmt-sanctions.11794,2018-04-26 12:44:26.065248,,,,,,,,,2018-04-12 08:16:45.329380
,gb-hmt-sanctions.8523,2018-04-26 12:44:08.406624,"Block 4, Street 13, House No 179, Kuwait City, Al-Riqqa area",,,,,KW,Kuwait,,2018-04-12 08:16:22.380655
,gb-hmt-sanctions.12728,2018-04-26 12:44:39.383381,,,,,,,,,2018-04-12 08:17:19.103332
,gb-hmt-sanctions.13664,2018-04-26 12:44:59.793924,,,,,,,,,2018-04-26 12:44:59.619034
,gb-hmt-sanctions.8970,2018-04-26 12:44:09.919077,"Heimdalsgate 36-V, 578, Oslo",,,,,NO,Norway,,2018-04-19 11:32:10.990197
,gb-hmt-sanctions.11614,2018-04-26 12:44:16.039593,,,,,,,,,2018-04-12 08:16:41.936868
,gb-hmt-sanctions.11129,2018-04-26 12:44:16.563617,"Km 5 of Taft Road, Yazd",,,,,IR,Iran,,2018-04-12 08:16:36.641863
,gb-hmt-sanctions.11631,2018-04-26 12:44:16.675681,"5 rue El Montazah, Sidi Bousaid, Tunis",,,,,TN,Tunisia,,2018-04-12 08:16:42.644097
,gb-hmt-sanctions.11682,2018-04-26 12:44:20.790694,,,,,,,,,2018-04-12 08:16:44.195915
,gb-hmt-sanctions.12020,2018-04-26 12:44:27.169035,,,,,,ID,Indonesia,,2018-04-12 08:16:48.746843
,gb-hmt-sanctions.12052,2018-04-26 12:44:28.661221,,,,,,,,,2018-04-12 08:16:48.663844
,gb-hmt-sanctions.12451,2018-04-26 12:44:30.955586,"PO Box 32, BEL Building, Jonseung-Dung, Moranbong District, Pyongyang",,,,,KP,DPRK,,2018-04-12 08:17:17.614734
,gb-hmt-sanctions.12661,2018-04-26 12:44:31.725446,,,,,,,,,2018-04-12 08:17:13.218275
,gb-hmt-sanctions.12666,2018-04-26 12:44:32.030057,,,,,,,,,2018-04-12 08:17:16.804589
,gb-hmt-sanctions.12188,2018-04-26 12:44:32.546681,,,,,,,,,2018-04-12 08:16:50.547528
,gb-hmt-sanctions.12648,2018-04-26 12:44:33.788672,,,,,,,,,2018-04-12 08:17:12.894006
,gb-hmt-sanctions.12715,2018-04-26 12:44:33.805584,,,,,,,,,2018-04-12 08:17:15.345957
,gb-hmt-sanctions.8428,2018-04-26 12:44:03.194199,,,,,,,Afghanistan (at time of listing),,2018-04-12 08:16:23.548141
,gb-hmt-sanctions.11596,2018-04-26 12:44:23.657695,"20 Rue Ibn Chabat, Salammbo, Carthage, Tunis",,,,,TN,Tunisia,,2018-04-12 08:16:40.067561
,gb-hmt-sanctions.8284,2018-04-26 12:44:04.369785,,,,,,,,,2018-04-12 08:16:16.513448
,gb-hmt-sanctions.12735,2018-04-26 12:44:36.339750,,,,,,,,,2018-04-12 08:17:18.737917
,gb-hmt-sanctions.12850,2018-04-26 12:44:38.890641,,,,,,,,,2018-04-12 08:17:17.085616
,gb-hmt-sanctions.12892,2018-04-26 12:44:39.224427,,,,,,,,,2018-04-12 08:17:17.085572
,gb-hmt-sanctions.12951,2018-04-26 12:44:41.609057,,,,,,,,,2018-04-12 08:17:22.289260
,gb-hmt-sanctions.11097,2018-04-26 12:44:16.055273,,,,,,ML,Mali,,2018-04-12 08:16:30.982776
,gb-hmt-sanctions.11126,2018-04-26 12:44:16.858142,"3rd Km of Khalaj Road, Seyyedi Street, Mashad",,,,91638,IR,Iran,,2018-04-12 08:16:29.000456
,gb-hmt-sanctions.12050,2018-04-26 12:44:43.286647,,,,,,,,,2018-04-12 08:16:57.239942
,gb-hmt-sanctions.12919,2018-04-26 12:44:45.479874,,,,,,,,,2018-04-12 08:17:19.103083
,gb-hmt-sanctions.13347,2018-04-26 12:44:49.620391,,,,,,,,,2018-04-12 08:17:36.100550
,gb-hmt-sanctions.13039,2018-04-26 12:44:50.224711,,,,,,,,,2018-04-12 08:17:23.674109
,gb-hmt-sanctions.11274,2018-04-26 12:44:28.398509,,,,,,,,,2018-04-12 08:16:44.987621
,gb-hmt-sanctions.12683,2018-04-26 12:44:32.547702,,,,,,,,,2018-04-12 08:17:12.770037
