first_name,last_name,description,quality,title,third_name,__last_seen,entity_id,father_name,type,second_name,name,__first_seen
Abdul-Reza,SHAHLAEE,,,,,2018-04-26 12:44:30.032471,gb-hmt-sanctions.12208,,AKA,,Abdul-Reza SHAHLAEE,2018-04-12 08:17:04.992102
Mochammad,ACHWAN,,,,,2018-04-26 12:44:35.280690,gb-hmt-sanctions.12627,,Prime Alias,,Mochammad ACHWAN,2018-04-12 08:17:12.351561
,DIWANIYA COTTON STATE COMPANY,,,,,2018-04-26 12:45:16.749026,gb-hmt-sanctions.8080,,AKA,,DIWANIYA COTTON STATE COMPANY,2018-04-12 08:18:36.006295
,STATE TRADING COMPANY FOR CONSTRUCTION MATERIALS,,,,,2018-04-26 12:42:25.672717,gb-hmt-sanctions.8235,,Prime Alias,,STATE TRADING COMPANY FOR CONSTRUCTION MATERIALS,2018-04-12 08:16:14.763818
Ali,ABDULLAH,,,,,2018-04-26 12:44:03.544351,gb-hmt-sanctions.8697,,AKA,Zafir,Ali Zafir ABDULLAH,2018-04-12 08:16:22.897817
Baudoin,NGARUYE,,,Colonel,,2018-04-26 12:44:37.266040,gb-hmt-sanctions.12828,,AKA,,Baudoin NGARUYE,2018-04-12 08:17:19.730345
Laurent,BATWARE,,,,,2018-04-26 12:55:09.641690,gb-hmt-sanctions.8710,,AKA,Nkunda,Laurent Nkunda BATWARE,2018-04-12 08:16:32.092717
,RAJAH SOLAIMAN ISLAMIC MOVEMENT,,,,,2018-04-26 12:44:07.635031,gb-hmt-sanctions.10669,,AKA,,RAJAH SOLAIMAN ISLAMIC MOVEMENT,2018-04-12 08:16:24.581349
Jamal,AL MAGHREBI,,,,,2018-04-26 12:44:09.489061,gb-hmt-sanctions.8917,,AKA,,Jamal AL MAGHREBI,2018-04-12 08:16:25.498936
Abu Abd,AL-AZIZ,,,,,2018-04-26 12:44:10.765616,gb-hmt-sanctions.9218,,AKA,,Abu Abd AL-AZIZ,2018-04-12 08:16:25.514897
Myong-Chin,CHANG,,,,,2018-04-26 12:44:38.016260,gb-hmt-sanctions.12844,,Prime Alias,,Myong-Chin CHANG,2018-04-12 08:17:21.439331
