entity_id,description,__last_seen,place,country_code,country_name,quality,__first_seen
gb-hmt-sanctions.8920,,2018-04-26 12:44:08.055266,"(1) Bengasi, Libya (2) Bendasi, Libya",,(1) Morocco (2) Libya,,2018-04-12 08:16:28.983271
gb-hmt-sanctions.9158,,2018-04-26 12:55:59.989777,"(1) Danda, Miramshah, North Waziristan (2) Srana village, Garda Saray district, Paktia province (3) Neka district, Paktika province (4) Khost province",,(1) Pakistan (2) Afghanistan (3) Afghanistan (4) Afghanistan,,2018-04-12 08:16:31.057507
gb-hmt-sanctions.6894,,2018-04-26 12:45:05.452341,"(1) Tirpas-Selong Village,  East Lombok (2) Korleko-Lombok Timur",,(1)-(2) Indonesia,,2018-04-12 08:18:20.489208
gb-hmt-sanctions.11052,,2018-04-26 12:44:26.547590,,IQ,Iraq,,2018-04-12 08:16:36.266928
gb-hmt-sanctions.12939,,2018-04-26 12:44:36.507696,Sevastopol,,Ukrainian SSR,,2018-04-12 08:17:18.838066
gb-hmt-sanctions.12886,,2018-04-26 12:44:39.290797,,ML,Mali,,2018-04-12 08:17:18.513279
gb-hmt-sanctions.12929,,2018-04-26 12:44:44.334946,Simferopol,,,,2018-04-12 08:17:20.894953
gb-hmt-sanctions.13009,,2018-04-26 12:44:50.137148,Moscow,,,,2018-04-12 08:17:23.312297
gb-hmt-sanctions.13461,,2018-04-26 12:44:53.799666,Kananga,CD,DRC,,2018-04-26 12:44:53.674415
gb-hmt-sanctions.13613,,2018-04-26 12:45:01.051714,Damascus Countryside,SY,Syria,,2018-04-12 08:18:14.250994
gb-hmt-sanctions.11593,,2018-04-26 12:44:20.856052,Rades,TN,Tunisia,,2018-04-12 08:16:34.210002
gb-hmt-sanctions.11276,,2018-04-26 12:44:22.750589,"(1) Musanze District, Northern Province, (2) Ruhengeri",RW,Rwanda,,2018-04-12 08:17:16.094288
gb-hmt-sanctions.13665,,2018-04-26 12:44:59.776610,Pyongyang,KP,DPRK,,2018-04-26 12:44:59.776610
gb-hmt-sanctions.11583,,2018-04-26 12:44:15.517097,Tehran,IR,Iran,,2018-04-12 08:16:39.977719
gb-hmt-sanctions.11618,,2018-04-26 12:44:18.223536,Hammam-Sousse,TN,Tunisia,,2018-04-12 08:16:39.177953
gb-hmt-sanctions.12061,,2018-04-26 12:44:24.918362,Homs,SY,Syria,,2018-04-12 08:16:48.314733
gb-hmt-sanctions.12013,,2018-04-26 12:44:26.372432,Kerdaha,,,,2018-04-12 08:16:55.497515
gb-hmt-sanctions.12030,,2018-04-26 12:44:28.661232,Alabama,US,United States of America,,2018-04-12 08:16:46.671123
gb-hmt-sanctions.12641,,2018-04-26 12:44:38.366408,Hasaka,,,,2018-04-12 08:17:14.729165
gb-hmt-sanctions.13310,,2018-04-26 12:44:51.019589,Baku,AZ,Azerbaijan,,2018-04-12 08:17:50.112136
gb-hmt-sanctions.13106,,2018-04-26 12:44:52.975269,"Stefanidin Dar, Rostov Region",,,,2018-04-12 08:17:31.513151
gb-hmt-sanctions.13103,,2018-04-26 12:44:53.029108,Krasnoyarsk,,,,2018-04-12 08:17:24.904454
gb-hmt-sanctions.13246,,2018-04-26 12:44:55.334542,"Kuza Bandai village, Swat Valley, Khyber Pakhtunkhawa Province",PK,Pakistan,,2018-04-12 08:17:33.199910
gb-hmt-sanctions.13522,,2018-04-26 12:44:57.692747,"Ust-Labinsk, Krasnodar Region",,,,2018-04-12 08:18:12.236223
gb-hmt-sanctions.13664,,2018-04-26 12:45:00.160784,Pyongyang,KP,DPRK,,2018-04-26 12:45:00.032320
gb-hmt-sanctions.6930,,2018-04-26 12:45:02.044587,Alexandria,EG,Egypt,,2018-04-12 08:18:18.200647
gb-hmt-sanctions.13449,,2018-04-26 12:45:03.433071,Al Baydah Governorate,YE,Yemen,,2018-04-12 08:18:08.438193
gb-hmt-sanctions.7017,,2018-04-26 12:45:18.319820,"Loy Karez village, Spin Boldak District, Kandahar Province",AF,Afghanistan,,2018-04-12 08:18:18.735799
gb-hmt-sanctions.9215,,2018-04-26 12:44:21.560087,"Sargodha, Punjab",PK,Pakistan,,2018-04-12 08:16:34.563444
gb-hmt-sanctions.11598,,2018-04-26 12:44:24.455233,La Marsa,TN,Tunisia,,2018-04-12 08:16:37.502471
gb-hmt-sanctions.13663,,2018-04-26 12:45:00.252541,Kangwon,,,,2018-04-26 12:45:00.252541
gb-hmt-sanctions.11620,,2018-04-26 12:44:16.589666,Hammam-Sousse,TN,Tunisia,,2018-04-12 08:16:50.430800
gb-hmt-sanctions.11621,,2018-04-26 12:44:17.791594,Sousse,TN,Tunisia,,2018-04-12 08:16:42.302752
gb-hmt-sanctions.11624,,2018-04-26 12:44:18.256653,Tunis,TN,Tunisia,,2018-04-12 08:16:39.561535
gb-hmt-sanctions.11274,,2018-04-26 12:44:31.024318,"(1) Yatimchai village, Musa Qala District, Helmand Province (2) Kandahar Province",,(1) Afghanistan (2) Afghanistan,,2018-04-12 08:16:47.638269
gb-hmt-sanctions.12455,,2018-04-26 12:44:34.264004,"(1) Kohe Safi District, Parwan Province (2) Kapisa Province (3) Nangarhar Province (4) Kabul Province",AF,Afghanistan,,2018-04-12 08:17:13.234982
gb-hmt-sanctions.13128,,2018-04-26 12:44:41.803367,Oslo,NO,Norway,,2018-04-12 08:17:24.529360
gb-hmt-sanctions.13068,,2018-04-26 12:44:42.125887,Zagorsk (Sergiev Posad),,,,2018-04-12 08:17:22.297739
gb-hmt-sanctions.13073,,2018-04-26 12:44:42.892701,"Puschino, Moscow region",,,,2018-04-12 08:17:37.259646
gb-hmt-sanctions.12050,,2018-04-26 12:44:44.896204,Homs,SY,Syria,,2018-04-12 08:16:59.399723
gb-hmt-sanctions.12919,,2018-04-26 12:44:45.513109,"Pushkin, Leningrad region",,,,2018-04-12 08:17:19.188735
gb-hmt-sanctions.13662,,2018-04-26 12:45:02.648382,Sinuju,KP,DPRK,,2018-04-26 12:45:02.543285
gb-hmt-sanctions.11615,,2018-04-26 12:44:16.308795,Tunis,TN,Tunisia,,2018-04-12 08:16:38.585774
gb-hmt-sanctions.11623,,2018-04-26 12:44:18.223528,Tunis,TN,Tunisia,,2018-04-12 08:16:57.873151
gb-hmt-sanctions.11584,,2018-04-26 12:44:18.508300,Hamman-Sousse,TN,Tunisia,,2018-04-12 08:16:38.569246
gb-hmt-sanctions.12921,,2018-04-26 12:44:38.435393,Moscow,RU,Russia,,2018-04-12 08:17:19.119511
gb-hmt-sanctions.13112,,2018-04-26 12:44:40.336784,Pushkin,,,,2018-04-12 08:17:24.729497
gb-hmt-sanctions.12948,,2018-04-26 12:44:40.445258,"Makiivka, Donetsk oblast",,,,2018-04-12 08:17:18.996591
gb-hmt-sanctions.13215,,2018-04-26 12:44:45.513941,GDR (DDR),,,,2018-04-12 08:17:35.933896
gb-hmt-sanctions.13200,,2018-04-26 12:44:49.319050,St. Petersburg,,,,2018-04-12 08:17:33.716509
gb-hmt-sanctions.13401,,2018-04-26 12:44:54.925923,Lattakia,,,,2018-04-12 08:17:41.418211
gb-hmt-sanctions.13411,,2018-04-26 12:45:01.214947,Damascus,,,,2018-04-12 08:17:50.592680
gb-hmt-sanctions.13397,,2018-04-26 12:45:01.573581,Lattakia,,,,2018-04-12 08:17:38.464203
gb-hmt-sanctions.7159,,2018-04-26 12:45:03.608264,"(1) Sarpolad village, Washer District, Helmand Province (2) Arghandab District, Kandahar Province",AF,Afghanistan,,2018-04-12 08:18:25.412018
gb-hmt-sanctions.7620,,2018-04-26 12:45:13.034518,Salah al-Din,IQ,Iraq,,2018-04-12 08:18:38.056813
gb-hmt-sanctions.7838,,2018-04-26 12:45:19.044919,,ID,Indonesia,,2018-04-12 08:18:30.980530
gb-hmt-sanctions.7615,,2018-04-26 12:45:20.590468,Mosul or Baghdad,IQ,Iraq,,2018-04-12 08:18:26.466797
gb-hmt-sanctions.7860,,2018-04-26 12:45:29.097405,"(1) Tiaret (2) Maskara (3) Mahdia (4) Mascara (5) Algiers (6) Mehdia, Tiaret province (7) -",,(1) to (6) Algeria (7) Morocco,,2018-04-12 08:18:54.776883
gb-hmt-sanctions.10906,,2018-04-26 12:44:13.497763,,PK,Pakistan,,2018-04-12 08:16:39.260978
gb-hmt-sanctions.12021,,2018-04-26 12:44:30.362718,Central Java,ID,Indonesia,,2018-04-12 08:16:48.063447
gb-hmt-sanctions.8720,,2018-04-26 12:55:11.208201,Qaylubiyah,EG,Egypt,,2018-04-12 08:16:25.648376
gb-hmt-sanctions.9157,,2018-04-26 12:55:12.807345,"Meftah, Wilaya of Blida",DZ,Algeria,,2018-04-12 08:16:23.256003
gb-hmt-sanctions.11631,,2018-04-26 12:44:16.781482,Le Bardo,TN,Tunisia,,2018-04-12 08:16:42.770269
gb-hmt-sanctions.11612,,2018-04-26 12:44:17.784312,Monastir,TN,Tunisia,,2018-04-12 08:16:36.801889
gb-hmt-sanctions.11616,,2018-04-26 12:44:17.976118,Le Bardo,TN,Tunisia,,2018-04-12 08:16:39.306132
gb-hmt-sanctions.11907,,2018-04-26 12:44:24.431539,Damascus,,,,2018-04-12 08:16:49.764107
gb-hmt-sanctions.12046,,2018-04-26 12:44:31.908881,Karifis,SY,Syria,,2018-04-12 08:16:48.721901
gb-hmt-sanctions.12917,,2018-04-26 12:44:37.473385,"Ordzhonikidze, North Ossetia",,,,2018-04-12 08:17:20.719897
gb-hmt-sanctions.12778,,2018-04-26 12:44:40.469494,Damascus,,,,2018-04-12 08:17:17.752590
gb-hmt-sanctions.12457,,2018-04-26 12:44:41.752756,"Barlach Village, Qareh Bagh District, Ghazni Province",AF,Afghanistan,,2018-04-12 08:17:16.346215
gb-hmt-sanctions.13133,,2018-04-26 12:44:43.983932,Damascus,SY,Syria,,2018-04-12 08:17:36.814237
gb-hmt-sanctions.13105,,2018-04-26 12:44:52.020878,Klin,,,,2018-04-12 08:17:24.215783
gb-hmt-sanctions.13405,,2018-04-26 12:45:02.418801,Aleppo,,,,2018-04-12 08:17:45.219304
gb-hmt-sanctions.13271,,2018-04-26 12:45:05.494470,,CF,Central African Republic,,2018-04-12 08:17:35.592588
gb-hmt-sanctions.6916,,2018-04-26 12:45:07.654126,"Zilzilay village, Andar District, Ghazni Province",AF,Afghanistan,,2018-04-12 08:18:17.382493
gb-hmt-sanctions.7380,,2018-04-26 12:45:09.530606,"(1) Pashtoon Zarghoon District, Herat Province (2) Sardar village, Kohsan District, Herat Province",AF,Afghanistan,,2018-04-12 08:18:54.576978
gb-hmt-sanctions.13521,,2018-04-26 12:45:11.489474,"Salair, Kemerovskaya Oblast",,,,2018-04-12 08:18:11.626356
gb-hmt-sanctions.7550,,2018-04-26 12:45:11.788566,"(1) Shahjoi District, Zabul Province (2) Janda District, Ghazni Province",,(1) Afghanistan (2) Afghanistan,,2018-04-12 08:18:25.266612
gb-hmt-sanctions.11633,,2018-04-26 12:44:28.948802,"Sarana Village, Garda Saray area, Waza Zadran District, Paktia Province",AF,Afghanistan,,2018-04-12 08:16:48.005108
gb-hmt-sanctions.11097,,2018-04-26 12:44:16.738645,"Faidh El Batma, Djelfa",DZ,Algeria,,2018-04-12 08:16:31.701591
gb-hmt-sanctions.11596,,2018-04-26 12:44:23.810855,Tunis,TN,Tunisia,,2018-04-12 08:16:40.177931
gb-hmt-sanctions.11636,,2018-04-26 12:44:26.731155,Tripoli,LY,Libya,,2018-04-12 08:16:41.061402
gb-hmt-sanctions.11096,,2018-04-26 12:44:14.522151,"Hussein Dey, Algiers",DZ,Algeria,,2018-04-12 08:16:31.974047
gb-hmt-sanctions.11278,,2018-04-26 12:44:20.434820,"(1) Ngungu, Masisi Territory, North Kivu Province (2) Masisi",CD,Democratic Republic of the Congo,,2018-04-12 08:16:39.944749
gb-hmt-sanctions.11595,,2018-04-26 12:44:21.264524,Tunis,TN,Tunisia,,2018-04-12 08:16:36.991971
gb-hmt-sanctions.11905,,2018-04-26 12:44:22.182762,"Kerdaha, Latakia Province",,,,2018-04-12 08:16:44.404059
gb-hmt-sanctions.13134,,2018-04-26 12:44:48.340744,"(1) Al-Shura, Mosul, Iraqi (2) Harara, Ninawa",IQ,Iraq,,2018-04-12 08:17:33.463510
gb-hmt-sanctions.9166,,2018-04-26 12:44:23.219712,"Al-Shefa, Al-Taif",SA,Saudi Arabia,,2018-04-12 08:16:27.849056
gb-hmt-sanctions.11934,,2018-04-26 12:44:26.023698,Damascus,,,,2018-04-12 08:16:44.954120
gb-hmt-sanctions.11798,,2018-04-26 12:44:27.307509,"Meybod, Yazd",IR,Iran,,2018-04-12 08:16:43.653792
gb-hmt-sanctions.13227,,2018-04-26 12:44:48.549000,Berlin,DE,Germany,,2018-04-12 08:17:31.521076
gb-hmt-sanctions.11937,,2018-04-26 12:44:30.232844,Damascus,,,,2018-04-12 08:16:46.904923
gb-hmt-sanctions.12634,,2018-04-26 12:44:37.785182,London,GB,United Kingdom,,2018-04-12 08:17:11.751260
gb-hmt-sanctions.12926,,2018-04-26 12:44:38.523874,(1) Moscow (2) Sevastopol,,,,2018-04-12 08:17:18.261168
gb-hmt-sanctions.13064,,2018-04-26 12:44:42.933594,Donetsk,,,,2018-04-12 08:17:26.687444
gb-hmt-sanctions.13182,,2018-04-26 12:44:43.809768,"Romny, Sumy oblast",,,,2018-04-12 08:17:36.163957
gb-hmt-sanctions.13084,,2018-04-26 12:44:48.764705,Kharj,SA,Saudi Arabia,,2018-04-12 08:17:31.737640
gb-hmt-sanctions.13211,,2018-04-26 12:44:50.878894,Luhansk,,,,2018-04-12 08:17:37.000929
gb-hmt-sanctions.13091,,2018-04-26 12:44:51.755081,Donetsk,,,,2018-04-12 08:17:23.145856
gb-hmt-sanctions.12211,,2018-04-26 12:44:46.017968,Lattakia,SY,Syria,,2018-04-12 08:16:56.098301
gb-hmt-sanctions.13313,,2018-04-26 12:44:51.780082,(1) Varzob area (2) Dushanbe,TJ,Tajikistan,,2018-04-12 08:17:38.668270
gb-hmt-sanctions.6905,,2018-04-26 12:45:04.085831,"(1) Baghran District, Helmand Province (2) Now Zad District, Helmand Province",AF,Afghanistan,,2018-04-12 08:18:15.973598
gb-hmt-sanctions.8781,,2018-04-26 12:44:26.652213,Arbil,IQ,Iraq,,2018-04-12 08:16:33.916293
gb-hmt-sanctions.11791,,2018-04-26 12:44:30.416073,Najafadad,IR,Iran,,2018-04-12 08:16:45.996991
gb-hmt-sanctions.12663,,2018-04-26 12:44:35.208883,"Pasuran, East Java",ID,Indonesia,,2018-04-12 08:17:16.037732
gb-hmt-sanctions.13036,,2018-04-26 12:44:41.044943,Leningrad (St Petersburg),,,,2018-04-12 08:17:33.416321
gb-hmt-sanctions.13126,,2018-04-26 12:44:43.722257,Dammam,SA,Saudi Arabia,,2018-04-12 08:17:31.904391
gb-hmt-sanctions.12945,,2018-04-26 12:44:44.351609,"Rahim Yar Khan, Punjab Province",PK,Pakistan,,2018-04-12 08:17:22.281090
gb-hmt-sanctions.13173,,2018-04-26 12:44:45.010216,Stalino City (now Donetsk),,,,2018-04-12 08:17:31.362685
gb-hmt-sanctions.13286,,2018-04-26 12:44:47.956194,"Heath, Cardiff, Wales",GB,United Kingdom,,2018-04-12 08:17:34.571882
gb-hmt-sanctions.13104,,2018-04-26 12:44:51.980125,"Almaty, Kazakh SSR",KZ,Kazakhstan,,2018-04-12 08:17:24.840733
gb-hmt-sanctions.13322,,2018-04-26 12:44:53.658932,Annaba,DZ,Algeria,,2018-04-12 08:17:51.595252
