first_name,last_name,description,quality,title,third_name,__last_seen,entity_id,father_name,type,second_name,name,__first_seen
,,,,,,2018-05-02 20:43:16.347781,kg-fiu-national.e2cc4a2ad964522f8d6de397fe0c957a0a0d68ef,,,, Исламское движение Узбекистана,2018-04-18 13:30:07.143267
,,,,,,2018-05-02 20:43:16.430968,kg-fiu-national.e2cc4a2ad964522f8d6de397fe0c957a0a0d68ef,,,, ИДУ,2018-04-18 13:30:07.201482
,,,,,,2018-05-02 20:43:16.514265,kg-fiu-national.e2cc4a2ad964522f8d6de397fe0c957a0a0d68ef,,,, Партия исламского возрождения,2018-04-18 13:30:07.217939
,,,,,,2018-05-02 20:43:16.697614,kg-fiu-national.12cbecf4e8a139e89a9368156fc5f25fb22f2d2c,,,, Курдский народный конгресс,2018-04-18 13:30:07.224835
,,,,,,2018-05-02 20:43:16.861520,kg-fiu-national.12cbecf4e8a139e89a9368156fc5f25fb22f2d2c,,,, Рабочая партия Курдистана,2018-04-18 13:30:07.275062
,,,,,,2018-05-02 20:43:16.939333,kg-fiu-national.15fdd4149fca5651e833b1097b266ca325edd6f2,,,, Шарки азат Туркестан,2018-04-18 13:30:07.133855
,,,,,,2018-05-02 20:43:16.947649,kg-fiu-national.12cbecf4e8a139e89a9368156fc5f25fb22f2d2c,,,, Курдская рабочая партия,2018-04-18 13:30:07.292437
,,,,,,2018-05-02 20:43:17.030926,kg-fiu-national.12cbecf4e8a139e89a9368156fc5f25fb22f2d2c,,,, Контра- Гель,2018-04-18 13:30:07.308582
,,,,,,2018-05-02 20:43:17.372610,kg-fiu-national.7179716f73de877dd35224e6b5a232b2cdd64d78,,,, Хизб-ут-Тахрир,2018-04-18 13:30:07.101089
,,,,,,2018-05-02 20:43:13.864496,kg-fiu-national.3a68d53d6a8128b04a61fe4c34f5aa08c439de30,,,, Ансарул Аллах,2018-04-18 13:30:07.035265
,,,,,,2018-05-02 20:43:14.028287,kg-fiu-national.1c29edf375a93bc6aca15f00eab74f78a8063984,,,, Ат- Такфир Вал-Хиджра,2018-04-18 13:30:07.042386
,,,,,,2018-05-02 20:43:14.406094,kg-fiu-national.3a68d53d6a8128b04a61fe4c34f5aa08c439de30,,,, Джамаат Ансаруллох,2018-04-18 13:30:07.101339
,,,,,,2018-05-02 20:43:14.931040,kg-fiu-national.52b97cb074cda664f2b1cfb6bb0f79966bbfcee5,,,, Шарки Туркестан ислам партиясы,2018-04-18 13:30:07.025976
,,,,,,2018-05-02 20:43:14.939402,kg-fiu-national.2ef9f70d5aa000f6c7c4325eab918e7153ea0a80,,,, Союз Исламского джихада,2018-04-18 13:30:06.750460
,,,,,,2018-05-02 20:43:15.022656,kg-fiu-national.2ef9f70d5aa000f6c7c4325eab918e7153ea0a80,,,, Исламская группа джихада,2018-04-18 13:30:06.992387
,,,,,,2018-05-02 20:43:15.172680,kg-fiu-national.2ef9f70d5aa000f6c7c4325eab918e7153ea0a80,,,, Джамаат аль- джихад,2018-04-18 13:30:07.009083
,,,,,,2018-05-02 20:43:15.255978,kg-fiu-national.2ef9f70d5aa000f6c7c4325eab918e7153ea0a80,,,, Исламский джихад- джамаат маджахедов,2018-04-18 13:30:07.025737
,,,,,,2018-05-02 20:43:15.339300,kg-fiu-national.2ef9f70d5aa000f6c7c4325eab918e7153ea0a80,,,, Джамаат маджахедов Центральной Азии,2018-04-18 13:30:07.042408
,,,,,,2018-05-02 20:43:15.764422,kg-fiu-national.a47d25532459fc95ded86568b6e0f77a55f75711,,,, Джунд-уль Халифат,2018-04-25 14:00:16.455708
