entity_id,description,__last_seen,place,country_code,country_name,quality,__first_seen
ua-sdfm-blacklist.50,,2018-04-26 08:30:10.440159,"Siyachoy village, Panjwai District, Kandahar Province, Afghanistan",,,,2018-04-12 07:32:13.715003
ua-sdfm-blacklist.427,,2018-04-26 08:30:18.909827,"Essaouria, Morocco  ",,,,2018-04-12 07:32:33.109864
ua-sdfm-blacklist.783,,2018-04-26 08:30:22.394180,"al-Awja, near Tikrit",,,,2018-04-12 07:32:58.463043
ua-sdfm-blacklist.785,,2018-04-26 08:30:22.594397,al-Dur,,,,2018-04-12 07:32:58.629798
ua-sdfm-blacklist.805,,2018-04-26 08:30:22.611198,Tikrit,,,,2018-04-12 07:33:00.806127
ua-sdfm-blacklist.797,,2018-04-26 08:30:22.634979,"ar-Rashidiyah, suburb of Baghdad",,,,2018-04-12 07:32:59.528632
ua-sdfm-blacklist.803,,2018-04-26 08:30:22.806753,Sulaymaniyah,,,,2018-04-12 07:33:00.628995
ua-sdfm-blacklist.990,,2018-04-26 08:30:24.817239,"Ndusu / Ruhengeri, Northern Province, Rwanda ",,,,2018-04-12 07:33:04.138153
ua-sdfm-blacklist.996,,2018-04-26 08:30:25.200529,"Minembwe, South Kivu, Democratic Republic of the Congo",,,,2018-04-12 07:33:04.446406
ua-sdfm-blacklist.173,,2018-04-26 08:30:26.401524,"Paktika Province, Afghanistan  ",,,,2018-04-12 07:32:17.431831
ua-sdfm-blacklist.46,,2018-04-26 08:30:10.704743,"Danda, Miramshah, North Waziristan, Pakistan;Srana village, Garda Saray district, Paktia province, Afghanistan;Neka district, Paktika province, Afghanistan;Khost province, Afghanistan.",,,,2018-04-12 07:32:12.339130
ua-sdfm-blacklist.150,,2018-04-26 08:30:12.722574,"Algiers, Algeria ",,,,2018-04-12 07:32:16.823319
ua-sdfm-blacklist.162,,2018-04-26 08:30:13.019249,"Faisalabad, Pakistan",,,,2018-04-12 07:32:17.231813
ua-sdfm-blacklist.195,,2018-04-26 08:30:13.348795,"Tunis, Tunisia",,,,2018-04-12 07:32:18.858303
ua-sdfm-blacklist.223,,2018-04-26 08:30:13.732102,"Charmistan village, Tirin Kot District, Uruzgan Province, Afghanistan; Marghi village, Nawa District, Ghazni Province, Afghanistan",,,,2018-04-12 07:32:20.050076
ua-sdfm-blacklist.228,,2018-04-26 08:30:13.890614,"Mial area, Spin Boldak District, Kandahar Province, Afghanistan ",,,,2018-04-12 07:32:20.616758
ua-sdfm-blacklist.185,,2018-04-26 08:30:13.889807,"Jaghatu District, Maidan Wardak Province, Afghanistan",,,,2018-04-12 07:32:18.505106
ua-sdfm-blacklist.185,,2018-04-26 08:30:13.906363,"Sharana District, Paktia Province, Afghanistan",,,,2018-04-12 07:32:18.521721
ua-sdfm-blacklist.180,,2018-04-26 08:30:14.048260,Iraq,,,,2018-04-12 07:32:18.349635
ua-sdfm-blacklist.208,,2018-04-26 08:30:14.099284,"Baghran District, Helmand Province, Afghanistan  ",,,,2018-04-12 07:32:19.141583
ua-sdfm-blacklist.225,,2018-04-26 08:30:14.099726,"Kandahar Province, Afghanistan",,,,2018-04-12 07:32:20.233479
ua-sdfm-blacklist.208,,2018-04-26 08:30:14.115894,"Now Zad District, Helmand Province, Afghanistan  ",,,,2018-04-12 07:32:19.155234
ua-sdfm-blacklist.225,,2018-04-26 08:30:14.116264,"Tirin Kot District, Uruzgan Province, Afghanistan  ",,,,2018-04-12 07:32:20.300168
ua-sdfm-blacklist.138,,2018-04-26 08:30:14.458004,"Doha, Qatar",,,,2018-04-12 07:32:16.673299
ua-sdfm-blacklist.244,,2018-04-26 08:30:14.524607,"Daman district, Kandahar province, Afghanistan",,,,2018-04-12 07:32:21.964167
