first_name,last_name,description,quality,title,third_name,__last_seen,entity_id,father_name,type,second_name,name,__first_seen
,,,strong,,,2018-05-01 01:05:05.189303,un-sc-sanctions.111763,,,,Khaled Al-Fauwaz,2018-04-12 07:32:59.495285
,,,strong,,,2018-05-01 01:05:05.356010,un-sc-sanctions.111763,,,,Khalik Al Fawwaz,2018-04-12 07:32:59.605372
,,,strong,,,2018-05-01 01:05:05.372621,un-sc-sanctions.111763,,,,Khaled Al-Fawwaz,2018-04-12 07:32:59.670020
,,,strong,,,2018-05-01 01:05:05.439577,un-sc-sanctions.111763,,,,Khaled Al Fawwaz,2018-04-12 07:32:59.686824
,,,strong,,,2018-05-01 01:05:05.664979,un-sc-sanctions.111835,,,,Ataf Cherif Said,2018-04-12 07:33:14.113243
,,,strong,,,2018-05-01 01:05:04.178885,un-sc-sanctions.6908541,,,,Turki Mubarak Abdullah Al Binali,2018-04-12 07:32:51.912991
,,,weak,,,2018-05-01 01:05:11.002788,un-sc-sanctions.6908525,,,,AA,2018-04-12 07:33:06.333793
,,,strong,,,2018-05-01 01:05:05.456175,un-sc-sanctions.111763,,,,Khalid Abdulrahman H. Al Fawaz,2018-04-12 07:32:59.703290
,,,strong,,,2018-05-01 01:05:05.748494,un-sc-sanctions.111835,,,,Cherif Said,2018-04-12 07:33:13.923268
,,,weak,,,2018-05-01 01:05:05.765456,un-sc-sanctions.111835,,,,Djallal,2018-04-12 07:33:14.206393
,,,weak,,,2018-05-01 01:05:05.790359,un-sc-sanctions.111835,,,,Youcef,2018-04-12 07:33:14.223175
,,,weak,,,2018-05-01 01:05:05.806864,un-sc-sanctions.111835,,,,Abou Salman,2018-04-12 07:33:14.298260
,,,strong,,,2018-05-01 01:05:05.998639,un-sc-sanctions.111785,,,,Al-Habib ben Ahmad ben al-Tayib al-Lubiri,2018-04-12 07:33:01.037837
,,,strong,,,2018-05-01 01:05:06.040413,un-sc-sanctions.111920,,,,Abu Ismail,2018-04-12 07:33:01.880967
,,,strong,,,2018-05-01 01:05:06.866639,un-sc-sanctions.2827659,,,,Khalifa Mohd Turki Alsubaie,2018-04-12 07:33:01.987904
,,,strong,,,2018-05-01 01:05:06.883345,un-sc-sanctions.2827659,,,,Khalifa Mohd Turki al-Subaie,2018-04-12 07:33:02.004519
,,,strong,,,2018-05-01 01:05:06.900144,un-sc-sanctions.2827659,,,,Khalifa Al-Subayi,2018-04-12 07:33:02.021290
,,,strong,,,2018-05-01 01:05:06.966974,un-sc-sanctions.2827659,,,,Khalifa Turki bin Muhammad bin al-Suaiy,2018-04-12 07:33:02.088020
,,,weak,,,2018-05-01 01:05:06.983402,un-sc-sanctions.2827659,,,,Abu Mohammed al-Qatari,2018-04-12 07:33:02.104530
,,,weak,,,2018-05-01 01:05:07.048917,un-sc-sanctions.2827659,,,,Katrina,2018-04-12 07:33:02.121320
,,,strong,,,2018-05-01 01:05:07.150500,un-sc-sanctions.2863393,,,,Shaykh Aminullah,2018-04-12 07:33:16.732084
,,,strong,,,2018-05-01 01:05:07.166857,un-sc-sanctions.2863393,,,,Sheik Aminullah,2018-04-12 07:33:16.748645
,,,weak,,,2018-05-01 01:05:07.232593,un-sc-sanctions.6908052,,,,Al-Kimawi,2018-04-12 07:33:03.904232
,,,strong,,,2018-05-01 01:05:07.233034,un-sc-sanctions.2863393,,,,Abu Mohammad Aminullah Peshawari,2018-04-12 07:33:16.815357
