entity_id,description,__last_seen,place,country_code,country_name,quality,__first_seen
un-sc-sanctions.111800,,2018-05-01 01:05:11.594900,Safi,MA,Morocco,,2018-04-12 07:33:11.147816
un-sc-sanctions.111208,,2018-05-01 01:05:14.079694,"Charmistan village, Tirin Kot District (Uruzgan Province)",AF,Afghanistan,,2018-04-12 07:33:10.230489
un-sc-sanctions.111208,,2018-05-01 01:05:14.096428,"Marghi village, Nawa District (Ghazni Province)",AF,Afghanistan,,2018-04-12 07:33:10.247157
un-sc-sanctions.112078,,2018-05-01 01:05:15.176642,California,US,United States of America,,2018-04-12 07:33:16.448175
un-sc-sanctions.111108,,2018-05-01 01:05:15.784743,Gardez (Paktia Province),AF,Afghanistan,,2018-04-12 07:33:14.198135
un-sc-sanctions.6908527,,2018-05-01 01:05:16.657444,Varzob area,TJ,Tajikistan,,2018-04-12 07:33:14.598062
un-sc-sanctions.6908527,,2018-05-01 01:05:16.674035,Dushanbe,TJ,Tajikistan,,2018-04-12 07:33:14.663232
un-sc-sanctions.2983746,,2018-05-01 01:05:17.208024,Sangrar (Sindh Province),PK,Pakistan,,2018-04-12 07:33:15.239813
un-sc-sanctions.111094,,2018-05-01 01:05:17.950173,Daman District (Kandahar Province),AF,Afghanistan,,2018-04-12 07:33:17.207363
un-sc-sanctions.6908099,,2018-05-01 01:05:18.617348,al-Dur,,,,2018-04-12 07:33:16.623417
un-sc-sanctions.111902,,2018-05-01 01:05:11.211586,Rouiba (Algiers),DZ,Algeria,,2018-04-12 07:33:07.042998
un-sc-sanctions.2913442,,2018-05-01 01:05:15.515033,"Band-e Temur, Maiwand District (Kandahar Province)",AF,Afghanistan,,2018-04-12 07:33:13.923260
un-sc-sanctions.6908544,,2018-05-01 01:05:16.315262,Nuseirat Refugee Camp (Gaza Strip),PS,Palestinian Territories,,2018-04-12 07:33:13.948237
un-sc-sanctions.6907999,,2018-05-01 01:05:17.875051,Rutshuru,CD,Democratic Republic of the Congo,,2018-04-12 07:33:16.931853
