first_name,last_name,description,quality,title,third_name,__last_seen,entity_id,father_name,type,second_name,name,__first_seen
Dr. Ramadan,ABDULLAH,,strong,,,2018-05-03 10:45:26.907991,us-ofac.81d4668fb21c4edfcfd966aaf53bda28e35651e5,,a.k.a.,,Dr. Ramadan ABDULLAH,2018-04-12 06:13:32.707231
Dr. Ramadan Abdullah,SHALLAH,,strong,,,2018-05-03 10:45:26.999892,us-ofac.81d4668fb21c4edfcfd966aaf53bda28e35651e5,,a.k.a.,,Dr. Ramadan Abdullah SHALLAH,2018-04-12 06:13:32.768123
Ramadan Abdalla Mohamed,SHALLAH,,strong,,,2018-05-03 10:45:27.091223,us-ofac.81d4668fb21c4edfcfd966aaf53bda28e35651e5,,a.k.a.,,Ramadan Abdalla Mohamed SHALLAH,2018-04-12 06:13:32.784788
,HARAKAT UL-MUJAHIDIN,,strong,,,2018-05-03 10:46:18.074116,us-ofac.924c755d2094aa6fd977ab7ead554c36bb33ad9d,,a.k.a.,,HARAKAT UL-MUJAHIDIN,2018-04-12 06:13:39.275819
,AL-FARAN,,strong,,,2018-05-03 10:46:18.165582,us-ofac.924c755d2094aa6fd977ab7ead554c36bb33ad9d,,a.k.a.,,AL-FARAN,2018-04-12 06:13:39.668570
,AL-HADID,,strong,,,2018-05-03 10:46:18.257517,us-ofac.924c755d2094aa6fd977ab7ead554c36bb33ad9d,,a.k.a.,,AL-HADID,2018-04-12 06:13:40.031140
,AL-HADITH,,strong,,,2018-05-03 10:46:18.407569,us-ofac.924c755d2094aa6fd977ab7ead554c36bb33ad9d,,a.k.a.,,AL-HADITH,2018-04-12 06:13:40.738311
,JAMIAT UL-ANSAR,,strong,,,2018-05-03 10:46:18.507421,us-ofac.924c755d2094aa6fd977ab7ead554c36bb33ad9d,,a.k.a.,,JAMIAT UL-ANSAR,2018-04-12 06:13:40.840385
,ANSAR-UL-UMMAH,,strong,,,2018-05-03 10:46:18.598930,us-ofac.924c755d2094aa6fd977ab7ead554c36bb33ad9d,,a.k.a.,,ANSAR-UL-UMMAH,2018-04-12 06:13:40.923204
Achivaldo,GUZMAN,,strong,,,2018-05-03 10:47:14.898183,us-ofac.b66d6fe6165cdd4baef94d2d5a6e1fff17d4ee06,,a.k.a.,,Achivaldo GUZMAN,2018-04-12 06:13:43.577279
Gilberto,OSUNA,,strong,,,2018-05-03 10:47:14.990117,us-ofac.b66d6fe6165cdd4baef94d2d5a6e1fff17d4ee06,,a.k.a.,,Gilberto OSUNA,2018-04-12 06:13:43.602683
Jorge,RAMOX PEREZ,,strong,,,2018-05-03 10:47:15.081771,us-ofac.b66d6fe6165cdd4baef94d2d5a6e1fff17d4ee06,,a.k.a.,,Jorge RAMOX PEREZ,2018-04-12 06:13:43.618963
Ahmed Mohammed,ABDUREHMAN,,strong,,,2018-05-03 10:47:26.714933,us-ofac.0146c56450e3a890995d948ce33c29a672b3ec26,,a.k.a.,,Ahmed Mohammed ABDUREHMAN,2018-04-12 06:13:44.128442
,AHMED THE EGYPTIAN,,weak,,,2018-05-03 10:47:27.264583,us-ofac.0146c56450e3a890995d948ce33c29a672b3ec26,,a.k.a.,,AHMED THE EGYPTIAN,2018-04-12 06:13:44.319466
Hamed,ALI,,strong,,,2018-05-03 10:47:27.371401,us-ofac.0146c56450e3a890995d948ce33c29a672b3ec26,,a.k.a.,,Hamed ALI,2018-04-12 06:13:44.336194
Ahmed Mohammed,ALI,,strong,,,2018-05-03 10:47:27.473184,us-ofac.0146c56450e3a890995d948ce33c29a672b3ec26,,a.k.a.,,Ahmed Mohammed ALI,2018-04-12 06:13:44.361261
Ahmad,AL-MASRI,,strong,,,2018-05-03 10:47:27.564832,us-ofac.0146c56450e3a890995d948ce33c29a672b3ec26,,a.k.a.,,Ahmad AL-MASRI,2018-04-12 06:13:44.427951
