entity_id,description,__last_seen,place,country_code,country_name,quality,__first_seen
us-ofac.c2b45828cdace62eb83ac8d201192b83a01330e2,,2018-05-03 10:48:19.263801,"Guernica, Vizacaya Province, Spain",,,strong,2018-04-12 06:13:45.946224
us-ofac.a284858db4939b450dd0bfc414f27d4ab3140a9e,,2018-05-03 10:48:37.394317,"Sinaloa, Mexico",,,strong,2018-04-12 06:13:47.610011
us-ofac.a284858db4939b450dd0bfc414f27d4ab3140a9e,,2018-05-03 10:48:37.481319,"Costa Rica, Sinaloa, Mexico",,,weak,2018-04-12 06:13:47.626663
us-ofac.a284858db4939b450dd0bfc414f27d4ab3140a9e,,2018-05-03 10:48:37.619409,"El Salado, Sinaloa, Mexico",,,weak,2018-04-12 06:13:47.643333
us-ofac.a284858db4939b450dd0bfc414f27d4ab3140a9e,,2018-05-03 10:48:37.705973,"Guadalajara, Jalisco, Mexico",,,weak,2018-04-12 06:13:47.660045
us-ofac.4229aa061c20001de6f728b4c033bc5d6a7a81cf,,2018-05-03 10:49:47.905836,"Gornja Koretica, Serbia and Montenegro",,,strong,2018-04-12 06:13:49.421306
us-ofac.96d58c5c106f5d8b80d62ed2c4ebe45cfadf1e2d,,2018-05-03 10:49:49.668163,"Rogatica, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.248107
us-ofac.427c841a640cb52a99d34ab968d678bc04f7e892,,2018-05-03 10:48:14.322090,"Vicente Guerrero, Durango",,,strong,2018-04-12 06:13:45.143653
us-ofac.f23cec0e685398cb9716c6f6f0ec9de28e9dfdd6,,2018-05-03 10:48:35.164518,"Quintana Roo, Mexico",,,strong,2018-04-12 06:13:47.312871
us-ofac.e43a9ef030205697be2120251e36504734f06be0,,2018-05-03 10:48:50.043675,"El Aguila, Valle, Colombia",,,strong,2018-04-12 06:13:48.230768
us-ofac.0ffc8c67e15ff0dd4b25d752c69ee1a8c04fe7b2,,2018-05-03 10:49:51.272447,"Popovac, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.064460
us-ofac.1b6b566b5051d17f0ae919aefe18e99ef708f67a,,2018-05-03 10:50:03.534169,"Orlovci, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:49.729878
us-ofac.59999dfe6040780325813c47e542e31d6c597640,,2018-05-03 10:50:04.146897,"Lamovita, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.305754
us-ofac.6a740279bf4221a36f45c4076a1b462327e3f0e6,,2018-05-03 10:50:05.363664,"Birotici, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.611554
us-ofac.b3c024781b9daa0ecc8cef7098a22aef30c334fb,,2018-05-03 10:50:11.538905,"Zagrovic, Croatia",,,strong,2018-04-12 06:13:50.664856
us-ofac.ccca3d194d87090f40521f9dde9d41bca91ac6e7,,2018-05-03 10:50:15.558438,"Vrginmost, Croatia",,,strong,2018-04-12 06:13:53.812664
us-ofac.f5a72cc33cc55929546af29aa7273941c05a3bfb,,2018-05-03 10:50:18.792258,"Vlasenica, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:51.884423
us-ofac.197e0bbb42028e31e9d7a7602ae7cfa99b1618c4,,2018-05-03 10:50:33.301558,"Novi Grad, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:51.340106
us-ofac.320c3146ee9a29743ab91bff7658fa0151d276dc,,2018-05-03 10:50:33.910042,"Donja Slatina, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:51.443756
us-ofac.618e796fc16dcb13d60e53b3f33651de7bcacc94,,2018-05-03 10:50:36.281868,"Trnjak, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:51.682008
us-ofac.054001dc930a1770d534c10054452b7093b9369e,,2018-05-03 10:50:39.273643,"Sinaloa, Mexico",,,strong,2018-04-12 06:13:51.689158
us-ofac.48a1e8d9434dc34b3176b4632bc7f9db4758f7bc,,2018-05-03 10:50:44.743403,"Roubaix, France",,,strong,2018-04-12 06:13:52.282310
us-ofac.fba4154a3c99f753dde77f3e17557ed362b10bc9,,2018-05-03 10:50:44.885299,"Boulogin, Algeria",,,strong,2018-04-12 06:13:52.088687
us-ofac.9b9439a59bc7f6dd057ac338dcaf7e8df542eb87,,2018-05-03 10:48:10.838781,"Santa Agueda,Baja California Sur,Mexico",,,strong,2018-04-12 06:13:45.110280
us-ofac.bee817dfea8b68b8aab76dd11c0bc43af83f7c29,,2018-05-03 10:48:20.255846,"San Sebastian, Guipuzcoa Province, Spain",,,strong,2018-04-12 06:13:45.594966
us-ofac.09c6ea792ab2ba37303657ec69ef1cd980c67e8e,,2018-05-03 10:48:31.747246,"Bilbao Vizcaya Province, Spain",,,strong,2018-04-12 06:13:46.618106
us-ofac.40461b08af1a37680fe1a59260fd5938c6b95bf9,,2018-05-03 10:48:40.939221,"Bistra, Algeria",,,strong,2018-04-12 06:13:46.337677
us-ofac.bb77ee058debcc08b89d6ebc9905fcbbdd00eefb,,2018-05-03 10:49:47.693309,"Vlasenica, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.281176
us-ofac.8854f1ff95268162772a256305a3ad5c6b63ac2e,,2018-05-03 10:49:50.372542,"Han Pijesak, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.807457
us-ofac.957e45a6f98dccea16d598800662fa628f8c7d62,,2018-05-03 10:49:52.005716,"Rijeka, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.123055
us-ofac.c1bbadeea463053c9b16315008bb74b05230fc68,,2018-05-03 10:49:53.168028,"Citluk, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:49.271701
us-ofac.c6a4fd9a06153d10d05f143e33125a8bade9de08,,2018-05-03 10:49:58.088910,"Poroj, Macedonia",,,strong,2018-04-12 06:13:49.584634
us-ofac.f6bb53991b6d43f0ce92cd35ec101dce417763fc,,2018-05-03 10:49:58.659373,"Glodjane, Serbia and Montenegro",,,strong,2018-04-12 06:13:49.994016
us-ofac.cfdc949d2bf032f3f090ecbad38ec39db6b365e2,,2018-05-03 10:50:04.755122,"Zabrdje, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:49.879608
us-ofac.d7aa483b37fc3612f0d5b4bb31c9012c6847e61e,,2018-05-03 10:50:08.259088,"Foca, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.063007
us-ofac.b0c491ff89e53f2a534d0f4144c839f8e5110ab6,,2018-05-03 10:50:12.175511,"Petrov Gaj, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.993970
us-ofac.320650c6d431454e98584e11424ca686144c4d46,,2018-05-03 10:50:12.767185,"Murgas, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.177092
us-ofac.49aa182f10e94c33af423e730a65b665f4e473a7,,2018-05-03 10:50:14.892083,Drenovc,,,strong,2018-04-12 06:13:51.306349
us-ofac.15a01a69cb587734601b23c12b51b67e3d5d7bed,,2018-05-03 10:50:16.283443,"Racak, Serbia and Montenegro",,,strong,2018-04-12 06:13:50.429831
us-ofac.3fc25cfa958f3fe9c4582e4b54c445946a51b3f6,,2018-05-03 10:50:24.244832,"Lamovita, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:52.148856
us-ofac.bae76b8c47d250d63230d26a599464c084f325b4,,2018-05-03 10:50:29.684906,"Zabljak, Serbia and Montenegro",,,strong,2018-04-12 06:13:50.806171
us-ofac.7976649e859aeb94953af79ca6009ffdb82d48bb,,2018-05-03 10:50:30.926753,"Trebica, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.806182
us-ofac.ea99a5bdcbacc7fade5876e38fa3fac5216fe643,,2018-05-03 10:50:32.168129,"Dimce, Serbia and Montenegro",,,strong,2018-04-12 06:13:51.330587
us-ofac.1024313894993033fec0d4d3590c23f4c6ab4441,,2018-05-03 10:50:35.165123,"Brusna, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:52.281045
us-ofac.769608a778bb7504ab590d88c778c8614c54739f,,2018-05-03 10:50:36.601318,Sarajevo Bosnia-Herzegovina,,,strong,2018-04-12 06:13:51.680637
us-ofac.eb059352ce2195d0bf3cf7cdb8281ca9d846fada,,2018-05-03 10:50:39.090280,"Sinaloa, Mexico",,,strong,2018-04-12 06:13:52.322627
us-ofac.7f38dbd8f8372fbd38e4bdce654dcadb6e632279,,2018-05-03 10:51:09.009641,"Dujail, Iraq",,,strong,2018-04-12 06:13:53.224649
us-ofac.614fd391774aa069e786d054eb5c42a8c5fddae2,,2018-05-03 10:51:18.734539,"Makassar, South Sulawesi, Indonesia",,,strong,2018-04-12 06:13:53.224291
us-ofac.9e9880f7b8830e9f90391571481db4ffdfb5007a,,2018-05-03 10:51:22.376141,"Lanao del Sur, Philippines",,,strong,2018-04-12 06:13:53.607216
us-ofac.42274cf5aa968a1d44745288a5d08bc84ec72971,,2018-05-03 10:51:34.058627,"Poshok, Iraq",,,strong,2018-04-12 06:13:55.428951
us-ofac.f4b94714932f01b4ef85e26a7d2a27bdfb5eda36,,2018-05-03 10:51:35.577116,"Tunisi, Tunisia",,,strong,2018-04-12 06:13:54.299141
us-ofac.4483874a5797b5f36cd215f157297f0056c7beff,,2018-05-03 10:51:47.093414,"Kraljevo, Serbia",,,strong,2018-04-12 06:13:54.598887
us-ofac.eb4e300aa02ecd8730dfe63e5d942b9707323535,,2018-05-03 10:51:55.409490,"Monterrey, Casanare, Colombia",,,strong,2018-04-12 06:13:56.338734
us-ofac.19fbebf5967667b0d1fa6e9f7114f34582009a3d,,2018-05-03 10:51:56.493216,"El Paujil, Caqueta, Colombia",,,strong,2018-04-12 06:13:55.224195
us-ofac.179aedb20a0927d28a03e96a9555724c157860ea,,2018-05-03 10:52:09.675657,"Kirkuk, Iraq",,,strong,2018-04-12 06:13:57.047256
us-ofac.a9945b16202eea0ae127c652dba95b82c458cc30,,2018-05-03 10:52:16.133705,Algiers Algeria,,,strong,2018-04-12 06:13:55.761530
us-ofac.1a578d46457c91750b529697a072919fe321d1ba,,2018-05-03 10:48:19.589041,"Vergara, Guipuzcoa Province, Spain",,,strong,2018-04-12 06:13:45.269996
us-ofac.35628cadb0db318ac50c410475de302be444152b,,2018-05-03 10:48:31.022408,"Bilbao Vizcaya Province, Spain",,,strong,2018-04-12 06:13:46.451195
us-ofac.e1416394d78bd7c03f9b025056cc3b61a3fd1296,,2018-05-03 10:51:34.743787,"Karkuk, Iraq",,,strong,2018-04-12 06:13:54.275415
us-ofac.2ac1caf31195284e3e6cedaa165048785ad88cf1,,2018-05-03 10:51:58.093021,"San Martin, Meta, Colombia",,,strong,2018-04-12 06:13:55.357412
us-ofac.d477768f5b957283f3f2a9f9fe8f95e823a9bcef,,2018-05-03 10:52:16.824728,"Annaba, Algeria",,,strong,2018-04-12 06:13:55.783480
