date,entity_id,quality,__last_seen,__first_seen
1980-07-26,worldpresidentsdb.e71ae9b0d6ca2433d469c86c52d92d08b6c96efa,strong,2018-04-26 08:30:07.256371,2018-04-12 07:35:36.947162
1929-06-04,worldpresidentsdb.153c3e1b981f7d4d67e7baba148ac7a40488f4b5,strong,2018-04-26 08:30:50.434490,2018-04-12 07:35:40.674418
1940-02-07,worldpresidentsdb.b2bcd5397c9d694c895193efc0e89fe6cefc8ee0,strong,2018-04-26 08:30:50.776177,2018-04-12 07:35:43.881590
1957-07-21,worldpresidentsdb.223cd387123bb90b54a5d02161ab3b3ffeeac615,strong,2018-04-26 08:30:37.277093,2018-04-12 07:35:37.422630
1961-06-21,worldpresidentsdb.351f093d33e3d2836a10b656d13f6eb960156b98,strong,2018-04-26 08:30:50.634254,2018-04-12 07:35:43.991976
1953-01-24,worldpresidentsdb.b11102a150f208d618bb9f1cc0f5573c0ea0576f,strong,2018-04-26 08:30:49.359184,2018-04-12 07:35:40.296548
1954-10-24,worldpresidentsdb.9027d6083ddc27548de62e6be4c9df32fd4ef363,strong,2018-04-26 08:30:50.709372,2018-04-12 07:35:41.790766
1935-03-26,worldpresidentsdb.7aa6e0e6832784c4afb7487fb23acc19bd2adce8,strong,2018-04-26 08:30:07.114726,2018-04-12 07:35:36.078028
1965-09-11,worldpresidentsdb.29283df0a2787054e1925e563223a0f76ba9c030,strong,2018-04-26 08:30:07.114681,2018-04-12 07:35:36.777901
1935-12-31,worldpresidentsdb.5f7dd700750c8bd4cad5c484e1a6dd3ca5dace34,strong,2018-04-26 08:30:07.222593,2018-04-12 07:35:35.077716
1954-11-19,worldpresidentsdb.9a0cdae3c43434f1e5a2c5c13103005bf66f4fbb,strong,2018-04-26 08:30:07.256402,2018-04-12 07:35:36.911730
1954-03-21,worldpresidentsdb.5c95b1bb5ff86716a5861126797924f2d24534b3,strong,2018-04-26 08:30:07.264268,2018-04-12 07:35:37.222227
1951-09-29,worldpresidentsdb.a61d95736e4f239dcbabcc566c4c89963923f5bf,strong,2018-04-26 08:30:07.264228,2018-04-12 07:35:36.947320
1959-05-09,worldpresidentsdb.a46232b45fa35a29e7768a5c093f0cfc565905de,strong,2018-04-26 08:30:07.289638,2018-04-12 07:35:36.514073
1953-02-19,worldpresidentsdb.ce556166c1ed2b44c7f90bb7ad120f62271c792b,strong,2018-04-26 08:30:07.489484,2018-04-12 07:35:37.378760
1954-09-21,worldpresidentsdb.616ac98ee42bb969c7af0cb1c1126b888600a7bb,strong,2018-04-26 08:30:07.568877,2018-04-12 07:35:35.288976
1963-04-06,worldpresidentsdb.fa667164990be161b373f0d0dbc32155b89584e7,strong,2018-04-26 08:30:07.693881,2018-04-12 07:35:37.440598
2013-08-15,worldpresidentsdb.964213ef3b92ff5416a6714de1dcacbb8d9922f1,strong,2018-04-26 08:30:07.809549,2018-04-12 07:35:36.794387
1938-10-09,worldpresidentsdb.be84e835605b0a7fe3104e365187562ac848edf2,strong,2018-04-26 08:30:07.931281,2018-04-12 07:35:36.947735
1954-02-26,worldpresidentsdb.f3d5dab6d5e9e3810afeaecb6795e218900ccd09,strong,2018-04-26 08:30:08.067878,2018-04-12 07:35:37.178164
1940-01-24,worldpresidentsdb.e2b25096b7db4c695fd9f1b4ddf0b7718a626675,strong,2018-04-26 08:30:08.139639,2018-04-12 07:35:37.423035
1949-02-12,worldpresidentsdb.85d30f65e49be629aaeb2e05f04681d1f149bb09,strong,2018-04-26 08:30:08.556361,2018-04-12 07:35:36.947189
1944-01-01,worldpresidentsdb.714044f22ae85011fd7f1b5b41785a3bfb76c4a0,strong,2018-04-26 08:30:08.781229,2018-04-12 07:35:38.848373
1941-04-18,worldpresidentsdb.2dde762540c741141fd2c33496b49eeb26c5ea07,strong,2018-04-26 08:30:11.271920,2018-04-12 07:35:37.789298
1962-06-27,worldpresidentsdb.566ea45bbc9ec9b412af49e73a248ba4f65a499f,strong,2018-04-26 08:30:14.482807,2018-04-12 07:35:37.814780
1940-12-23,worldpresidentsdb.db5b54bbb20fc1b0b9eb31dee40e8f255614ac9a,strong,2018-04-26 08:30:21.807463,2018-04-12 07:35:37.078090
1959-06-13,worldpresidentsdb.1b2dfa8f1781ff6d555f9cb51b10a990f035753b,strong,2018-04-26 08:30:26.488983,2018-04-12 07:35:37.864418
1957-08-28,worldpresidentsdb.ac1a7a4239a108182335c68b433adc9d66852bbe,strong,2018-04-26 08:30:32.896843,2018-04-12 07:35:40.023887
1945-10-01,worldpresidentsdb.21949e4b71743cc2ffa8ae301d6872fbe4690339,strong,2018-04-26 08:30:36.902809,2018-04-12 07:35:40.529683
1977-12-21,worldpresidentsdb.97a2d5d98f407546ee225643ee6e16da096dd8e7,strong,2018-04-26 08:30:36.909965,2018-04-12 07:35:38.231740
1961-10-26,worldpresidentsdb.31c97e943684a86c815f840940f07768d9806b19,strong,2018-04-26 08:30:36.909755,2018-04-12 07:35:37.899446
1963-04-10,worldpresidentsdb.69b5b2d02d52c4475948c43ce1d4451cf80ee447,strong,2018-04-26 08:30:36.935069,2018-04-12 07:35:38.173274
1963-02-02,worldpresidentsdb.1ff427966e8b7502f6fdab5a75d57ebd830b6036,strong,2018-04-26 08:30:37.110137,2018-04-12 07:35:37.989854
1962-11-23,worldpresidentsdb.379ac86d0dd6f4f1778450fd8781cc45be6fb63f,strong,2018-04-26 08:30:37.268490,2018-04-12 07:35:38.148184
1983-01-08,worldpresidentsdb.24e5ce53473b8d7d0e6ce10adffa2b723bae3859,strong,2018-04-26 08:30:37.268911,2018-04-12 07:35:38.281258
1952-06-04,worldpresidentsdb.720d90b175a427e09c2248536bb1a650aa4c7561,strong,2018-04-26 08:30:37.292219,2018-04-12 07:35:37.664890
1958-11-29,worldpresidentsdb.4f4b7e4bfdc0169923df46e1b18d140526ece936,strong,2018-04-26 08:30:38.461585,2018-04-12 07:35:38.965727
2014-07-24,worldpresidentsdb.92866f94acd88b3d1be683578018c99665bcd7a8,strong,2018-04-26 08:30:44.313430,2018-04-12 07:35:38.556756
1956-10-01,worldpresidentsdb.d29870921e503d6efd4f204bd88582a2f986e8b1,strong,2018-04-26 08:30:47.933776,2018-04-12 07:35:39.165048
1951-11-10,worldpresidentsdb.a5acbabcd9f8cf68bc47a1e37a0d48f152c96a36,strong,2018-04-26 08:30:48.250130,2018-04-12 07:35:41.050402
1975-12-21,worldpresidentsdb.e728d28df1ef00740e08bab374694535ac7da998,strong,2018-04-26 08:30:48.742010,2018-04-12 07:35:53.151961
1959-10-26,worldpresidentsdb.5b884019c30252dcfa7e209974534f73f1009357,strong,2018-04-26 08:30:49.384305,2018-04-12 07:35:39.348476
1935-05-20,worldpresidentsdb.58602da759ef6e1b5f0a16789b8034a4890b1525,strong,2018-04-26 08:30:49.959357,2018-04-12 07:35:39.920952
1965-09-26,worldpresidentsdb.dfecf17b1a0500df6d557568f48d1853be778730,strong,2018-04-26 08:30:50.434452,2018-04-12 07:35:40.504379
1950-12-01,worldpresidentsdb.4505ffaaf58336cc8d6beebb540ff30336d3f451,strong,2018-04-26 08:30:50.434461,2018-04-12 07:35:42.916565
1952-10-07,worldpresidentsdb.f6d7e0cd2fc0e5082a89c0c26b974f545c801245,strong,2018-04-26 08:30:50.434471,2018-04-12 07:35:43.174406
1945-11-11,worldpresidentsdb.119284e464819dcdec0c56d9e2b8dedfd43111a1,strong,2018-04-26 08:30:50.467424,2018-04-12 07:35:40.204322
1953-07-23,worldpresidentsdb.94228f739725aa5f0a69cf0635924053437618b9,strong,2018-04-26 08:30:50.550130,2018-04-12 07:35:42.900363
1955-03-27,worldpresidentsdb.cbf2a66b92b5e8ed04b33572a3873f04cc347f20,strong,2018-04-26 08:30:50.551226,2018-04-12 07:35:43.400076
1951-08-10,worldpresidentsdb.76204c987d60649c54080c6f28e387f828b7773b,strong,2018-04-26 08:30:50.559533,2018-04-12 07:35:41.146311
1958-04-25,worldpresidentsdb.8b74a417e8c6d3c72b537f1e75668b0c72587a01,strong,2018-04-26 08:30:50.559502,2018-04-12 07:35:41.504945
1967-02-14,worldpresidentsdb.c3d24e3c98ca7831bc80df16ce2300e8248611cd,strong,2018-04-26 08:30:50.559427,2018-04-12 07:35:41.432347
1948-11-12,worldpresidentsdb.b79e9e51d524aa029faa6e4d94b78085cc2a53be,strong,2018-04-26 08:30:50.567567,2018-04-12 07:35:41.346282
1975-01-11,worldpresidentsdb.d7a647007f467e2bfd06daf64de72e60a073c5ed,strong,2018-04-26 08:30:50.576143,2018-04-12 07:35:43.591680
1925-06-29,worldpresidentsdb.47b4c2c5903993642b02c1c51f8c2dde4c857a34,strong,2018-04-26 08:30:50.558355,2018-04-12 07:35:39.787640
