city,entity_id,__last_seen,text,region,note,street,postal_code,country_code,country_name,street_2,__first_seen
Genf,eu-eeas-sanctions.1900,2018-05-01 01:09:54.159202,,,,,,CH,CHE,,2018-04-12 07:35:51.717817
Ginevra,eu-eeas-sanctions.1900,2018-05-01 01:09:54.259062,,,,,,CH,CHE,,2018-04-12 07:35:51.734336
Sarajevo,eu-eeas-sanctions.924,2018-05-01 01:09:56.327901,,,,,,BA,BIH,,2018-04-12 07:35:49.681847
,eu-eeas-sanctions.1019,2018-05-01 01:09:57.498724,,,,,,FR,FRA,,2018-04-12 07:35:50.290220
Kut,eu-eeas-sanctions.2050,2018-05-01 01:09:58.012853,,,,P.O. Box 25,,IQ,IRQ,,2018-04-12 07:35:55.033169
Al-Zahra Town,eu-eeas-sanctions.2050,2018-05-01 01:09:58.029378,,,,Kut Opp,,IQ,IRQ,,2018-04-12 07:35:55.102077
,eu-eeas-sanctions.2194,2018-05-01 01:09:59.183274,,,,,,SY,SYR,,2018-04-12 07:35:54.566331
Kuwait (residence as at March 2009),eu-eeas-sanctions.4140,2018-05-01 01:10:00.926525,,,,,,KW,KWT,,2018-04-12 07:36:11.405418
"Lahore, Tehsil, Lahore City, Lahore District",eu-eeas-sanctions.5419,2018-05-01 01:10:02.811962,,,,116E Mohalla Johar,,PK,PAK,,2018-04-12 07:36:10.004649
Peshawar,eu-eeas-sanctions.5500,2018-05-01 01:10:03.029804,,,,Ganj District,,PK,PAK,,2018-04-12 07:36:12.205352
Caloocan City,eu-eeas-sanctions.5263,2018-05-01 01:10:03.092788,,,,10th Avenue,,PH,PHL,,2018-04-12 07:36:10.372520
Pyongyang,eu-eeas-sanctions.5492,2018-05-01 01:10:03.213443,,,,Central District,,KP,PRK,,2018-04-12 07:36:11.971772
Pyongyang,eu-eeas-sanctions.5494,2018-05-01 01:10:03.284495,,,,1 Saemul - Dong Pyongchon District,,KP,PRK,,2018-04-12 07:36:10.146307
Pyongyang,eu-eeas-sanctions.5497,2018-05-01 01:10:03.396831,,,,"Rakwon-dong, Pothonggang District",,KP,PRK,,2018-04-12 07:36:11.946898
Tehran,eu-eeas-sanctions.5289,2018-05-01 01:10:03.530208,,,,P.O. Box 16315-189,,IR,IRN,,2018-04-12 07:36:11.680157
Tehran,eu-eeas-sanctions.5289,2018-05-01 01:10:03.605424,,,,"located on the west side of Dabestan Street, Abbas Abad District",,IR,IRN,,2018-04-12 07:36:11.696759
Southeast Tehran,eu-eeas-sanctions.5680,2018-05-01 01:10:03.613458,,,,,,IR,IRN,,2018-04-12 07:36:15.305220
Carthage presidence,eu-eeas-sanctions.6061,2018-05-01 01:10:04.410515,,,,124 Avenue Habib Bourguiba,,TN,TUN,,2018-04-12 07:36:26.722664
Kandahar Province,eu-eeas-sanctions.5804,2018-05-01 01:10:04.544003,,,,Daman District,,AF,AFG,,2018-04-12 07:36:17.818520
,eu-eeas-sanctions.5796,2018-05-01 01:10:04.672490,,,,,,PK,PAK,,2018-04-12 07:36:18.264452
Tunis,eu-eeas-sanctions.6077,2018-05-01 01:10:05.202658,,,,41 Rue Garibaldi,,TN,TUN,,2018-04-12 07:36:20.215009
