first_name,last_name,description,quality,title,third_name,__last_seen,entity_id,father_name,type,second_name,name,__first_seen
,,,,,,2018-05-01 01:05:34.656488,eu-eeas-sanctions.218,,,,Frente Popular de Libertação da Palestina,2018-04-12 07:35:38.548093
,,,,,,2018-05-01 01:05:35.000930,eu-eeas-sanctions.218,,,,Fronte popolare di liberazione della Palestina,2018-04-12 07:35:38.720679
,,,,,,2018-05-01 01:05:35.018748,eu-eeas-sanctions.218,,,,Lidová fronta za osvobození Palestiny,2018-04-12 07:35:38.739504
,,,,,,2018-05-01 01:09:50.614542,eu-eeas-sanctions.836,,,,Abu Umr Takfiri,2018-04-12 07:35:47.273176
,,,,,,2018-05-01 01:05:35.084601,eu-eeas-sanctions.218,,,,Palestiina Vabastamise Rahvarinne,2018-04-12 07:35:38.762963
,,,,,,2018-05-01 01:05:35.107846,eu-eeas-sanctions.218,,,,Népi Front Palesztina Felszabadításért,2018-04-12 07:35:38.831518
,,,,,,2018-05-01 01:05:35.174670,eu-eeas-sanctions.218,,,,Palestīnas atbrīvošanas Tautas Fronte,2018-04-12 07:35:38.848649
,,,,,,2018-05-01 01:05:35.199503,eu-eeas-sanctions.218,,,,Palestinos išlaisvinimo liaudies frontas,2018-04-12 07:35:38.865098
,,,,,,2018-05-01 01:05:35.217914,eu-eeas-sanctions.218,,,,PILF,2018-04-12 07:35:38.890186
Aboud,Yasin,,,,,2018-05-01 01:05:35.174688,eu-eeas-sanctions.507,,,,Aboud Yasin,2018-04-12 07:35:40.279860
,,,,,,2018-05-01 01:05:36.393932,eu-eeas-sanctions.201,,,,Οργάνωση Abu Nidal,2018-04-12 07:35:40.155171
,,,,,,2018-05-01 01:05:36.410632,eu-eeas-sanctions.201,,,,Επαναστατικό Συµβούλιο Fatah,2018-04-12 07:35:40.171708
,,,,,,2018-05-01 01:05:36.427338,eu-eeas-sanctions.201,,,,Αραβικές Επαναστατικές Ταξιαρχίες,2018-04-12 07:35:40.188414
,,,,,,2018-05-01 01:05:36.444076,eu-eeas-sanctions.201,,,,Μαύρος Σεπτέµβρης,2018-04-12 07:35:40.205043
,,,,,,2018-05-01 01:05:36.460669,eu-eeas-sanctions.201,,,,Επαναστατική Οργάνωση Σοσια- λιστών Μουσουλµάνων,2018-04-12 07:35:40.280266
,,,,,,2018-05-01 01:05:36.519058,eu-eeas-sanctions.201,,,,Organização Abu Nidal,2018-04-12 07:35:40.296801
,,,,,,2018-05-01 01:05:36.535810,eu-eeas-sanctions.201,,,,Conselho Revolucionário do Fatah,2018-04-12 07:35:40.313521
,,,,,,2018-05-01 01:05:36.552452,eu-eeas-sanctions.201,,,,Brigadas Revolutionárias Árabes,2018-04-12 07:35:40.330104
,,,,,,2018-05-01 01:05:34.465899,eu-eeas-sanctions.219,,,,FPLP — Commandement général,2018-04-12 07:35:43.099523
,,,,,,2018-05-01 01:05:35.276430,eu-eeas-sanctions.330,,,,Al Rasheed Trust,2018-04-12 07:35:39.246286
,,,,,,2018-05-01 01:05:35.284850,eu-eeas-sanctions.218,,,,Ludowy Front Wyzwolenia Palestyny,2018-04-12 07:35:38.906729
,,,,,,2018-05-01 01:05:35.359689,eu-eeas-sanctions.218,,,,FPLP,2018-04-12 07:35:38.456630
,,,,,,2018-05-01 01:05:35.426226,eu-eeas-sanctions.218,,,,Народен Фронт за освобождение на Палестина,2018-04-12 07:35:38.998596
,,,,,,2018-05-01 01:05:35.491459,eu-eeas-sanctions.218,,,,Frontul Popular pentru Eliberarea Palestinei,2018-04-12 07:35:39.023293
,,,,,,2018-05-01 01:05:35.507905,eu-eeas-sanctions.218,,,,FPEP,2018-04-12 07:35:39.039949
,,,,,,2018-05-01 01:05:37.351817,eu-eeas-sanctions.506,,,,Omar Uthman Mohammed,2018-04-12 07:35:39.139922
,,,,,,2018-05-01 01:05:35.292989,eu-eeas-sanctions.330,,,,Al-Rashid Trust,2018-04-12 07:35:39.262867
,,,,,,2018-05-01 01:05:35.309871,eu-eeas-sanctions.330,,,,"Aid Organisation of the Ulema, Pakistan",2018-04-12 07:35:39.279562
,,,,,,2018-05-01 01:05:35.217928,eu-eeas-sanctions.219,,,,Palestīnas atbrīvošanas Tautas Fronte – virsvadība,2018-04-12 07:35:43.506115
,,,,,,2018-05-01 01:05:35.326456,eu-eeas-sanctions.219,,,,PILF Aukščiausioji vadovybė,2018-04-12 07:35:43.608022
,,,,,,2018-05-01 01:05:35.301535,eu-eeas-sanctions.219,,,,Palestinos išlaisvinimo žmonių fronto Aukščiausioji vadovybė,2018-04-12 07:35:43.591375
,,,,,,2018-05-01 01:05:35.346617,eu-eeas-sanctions.219,,,,Ludowy Front Wyzwolenia Palestyny – Naczelne Dowództwo,2018-04-12 07:35:43.664672
,,,,,,2018-05-01 01:05:35.418007,eu-eeas-sanctions.219,,,,Ľudový front za oslobodenie Palestíny – Hlavné veliteľstvo,2018-04-12 07:35:43.708167
,,,,,,2018-05-01 01:05:35.434637,eu-eeas-sanctions.219,,,,PFLP-Hlavné veliteľstvo,2018-04-12 07:35:43.774807
,,,,,,2018-05-01 01:05:35.499692,eu-eeas-sanctions.219,,,,Ljudska fronta za osvoboditev Palestine – glavno poveljstvo,2018-04-12 07:35:43.791492
,,,,,,2018-05-01 01:05:35.516298,eu-eeas-sanctions.219,,,,PFLP – glavno poveljstvo,2018-04-12 07:35:43.856348
,,,,,,2018-05-01 01:05:35.532993,eu-eeas-sanctions.219,,,,Народен Фронт за освобождение на Палестина – Общо командване,2018-04-12 07:35:43.873006
,,,,,,2018-05-01 01:05:36.385527,eu-eeas-sanctions.480,,,,RIHS,2018-04-12 07:35:39.473481
,,,,,,2018-05-01 01:05:35.326472,eu-eeas-sanctions.330,,,,Al Amin Welfare Trust,2018-04-12 07:35:39.332271
,,,,,,2018-05-01 01:05:35.346747,eu-eeas-sanctions.330,,,,Al Amin Trust,2018-04-12 07:35:39.348981
,,,,,,2018-05-01 01:05:35.417995,eu-eeas-sanctions.330,,,,Al Ameen Trust,2018-04-12 07:35:39.404820
,,,,,,2018-05-01 01:05:35.434567,eu-eeas-sanctions.330,,,,Al-Ameen Trust,2018-04-12 07:35:39.421431
,,,,,,2018-05-01 01:05:35.499692,eu-eeas-sanctions.330,,,,Al Madina Trust,2018-04-12 07:35:39.438111
,,,,,,2018-05-01 01:05:35.516299,eu-eeas-sanctions.330,,,,"Al-Madina Trust, Pakistan",2018-04-12 07:35:39.588345
,,,,,,2018-05-01 01:05:35.524621,eu-eeas-sanctions.218,,,,Il-Front Popolari għal-Liberazzjoni tal-Palestina,2018-04-12 07:35:39.057115
,,,,,,2018-05-01 01:05:37.343540,eu-eeas-sanctions.215,,,,Il-Partit Komunista tal-Filippini,2018-04-12 07:35:40.163254
,,,,,,2018-05-01 01:05:37.946696,eu-eeas-sanctions.327,,,,Jamiat Ihya Ul Turath Al Islamia,2018-04-12 07:35:38.973254
,,,,,,2018-05-01 01:05:37.963457,eu-eeas-sanctions.327,,,,Ahya Ul Turas,2018-04-12 07:35:38.989863
,,,,,,2018-05-01 01:05:37.971700,eu-eeas-sanctions.485,,,,Al Wafa,2018-04-12 07:35:39.954805
,,,,,,2018-05-01 01:05:35.301535,eu-eeas-sanctions.218,,,,Ľudový front za oslobodenie Palestíny,2018-04-12 07:35:38.923433
,,,,,,2018-05-01 01:05:35.318261,eu-eeas-sanctions.218,,,,Ljudska fronta za osvoboditev Palestine,2018-04-12 07:35:38.940585
,,,,,,2018-05-01 01:05:35.334797,eu-eeas-sanctions.218,,,,PATF,2018-04-12 07:35:38.956705
,,,,,,2018-05-01 01:05:35.018857,eu-eeas-sanctions.507,,,,Abdul Rahman S. Taha,2018-04-12 07:35:40.163454
,,,,,,2018-05-01 01:05:35.084591,eu-eeas-sanctions.507,,,,Abdul Rahman S. Taher,2018-04-12 07:35:40.179563
Abdul Rahman Said,Yasin,,,,,2018-05-01 01:05:35.107929,eu-eeas-sanctions.507,,,,Abdul Rahman Said Yasin,2018-04-12 07:35:40.196667
,,,,,,2018-05-01 01:05:35.532987,eu-eeas-sanctions.330,,,,"Организация за подпомагане на Ulema, Пакистан",2018-04-12 07:35:39.629781
,,,,,,2018-05-01 01:05:35.549796,eu-eeas-sanctions.330,,,,"Organizzazzjoni tal- Għajnuna tal-Ulema, Pakistan",2018-04-12 07:35:39.646373
,,,,,,2018-05-01 01:05:37.669073,eu-eeas-sanctions.201,,,,Melnais Septembris,2018-04-12 07:35:41.241368
,,,,,,2018-05-01 01:05:35.549832,eu-eeas-sanctions.219,,,,Frontul Popular pentru Eliberarea Palestinei – Comandamentul General,2018-04-12 07:35:43.889641
,,,,,,2018-05-01 01:05:35.618213,eu-eeas-sanctions.219,,,,FPEP – Comandamentul General,2018-04-12 07:35:43.906181
,,,,,,2018-05-01 01:05:35.634754,eu-eeas-sanctions.219,,,,Il-Front Popolari għal-Liberazzjoni tal-Palestina – Kmand Ġenerali,2018-04-12 07:35:43.974741
,,,,,,2018-05-01 01:05:35.651621,eu-eeas-sanctions.219,,,,PFLP – Kmand Ġenerali,2018-04-12 07:35:43.991474
,,,,,,2018-05-01 01:05:36.752447,eu-eeas-sanctions.481,,,,Grupo Salafista de Prédica e Combate,2018-04-12 07:35:52.474560
,,,,,,2018-05-01 01:05:36.769013,eu-eeas-sanctions.481,,,,Gruppo salafista per la predicazione e il combattimento,2018-04-12 07:35:52.499491
,,,,,,2018-05-01 01:05:35.883332,eu-eeas-sanctions.202,,,,Al-Aqsa kankinių brigada,2018-04-12 07:35:38.998657
,,,,,,2018-05-01 01:05:35.985121,eu-eeas-sanctions.212,,,,Partido de los Trabajadores del Kurdistán,2018-04-12 07:35:42.716177
,,,,,,2018-05-01 01:05:36.527100,eu-eeas-sanctions.212,,,,Кюрдска работническа партия,2018-04-12 07:35:43.231088
,,,,,,2018-05-01 01:05:36.543767,eu-eeas-sanctions.212,,,,Partidul Muncitoresc din Kurdistan,2018-04-12 07:35:43.247744
,,,,,,2018-05-01 01:05:36.560627,eu-eeas-sanctions.212,,,,Il-Partit tal-Ħaddiema tal-Kurdistan,2018-04-12 07:35:43.306146
,,,,,,2018-05-01 01:05:36.577121,eu-eeas-sanctions.212,,,,KADEK,2018-04-12 07:35:43.322836
,,,,,,2018-05-01 01:05:36.735863,eu-eeas-sanctions.481,,,,Le Groupe Salafiste pour la Prédiction et le Combat,2018-04-12 07:35:52.449789
,,,,,,2018-05-01 01:05:36.835754,eu-eeas-sanctions.481,,,,Οµάδα σαλαφιστών µαχητών και ιεροκηρύκων,2018-04-12 07:35:52.524543
,,,,,,2018-05-01 01:05:36.917678,eu-eeas-sanctions.481,,,,The Organization of Al-Qaida in the Islamic Maghreb,2018-04-12 07:35:52.583039
,,,,,,2018-05-01 01:05:36.959407,eu-eeas-sanctions.481,,,,Al Qaïda au Maghreb islamique,2018-04-12 07:35:52.651777
,,,,,,2018-05-01 01:05:36.975796,eu-eeas-sanctions.481,,,,AQMI,2018-04-12 07:35:52.676561
,,,,,,2018-05-01 01:05:36.992491,eu-eeas-sanctions.481,,,,Grupo Salafista para la Predicación y el Combate,2018-04-12 07:35:52.693279
,,,,,,2018-05-01 01:05:37.052801,eu-eeas-sanctions.481,,,,Al-Qaida organizācija Islama Magrebas valstīs,2018-04-12 07:35:52.709820
,,,,,,2018-05-01 01:05:37.117725,eu-eeas-sanctions.481,,,,Organização da Al-Qaida no Magrebe Islâmico,2018-04-12 07:35:52.774677
,,,,,,2018-05-01 01:05:37.134407,eu-eeas-sanctions.481,,,,Organizația Al-Qaida în Magrebul islamic,2018-04-12 07:35:52.801372
,,,,,,2018-05-01 01:05:36.100241,eu-eeas-sanctions.215,,,,Νέος Λαϊκός Στρατός,2018-04-12 07:35:38.973668
,,,,,,2018-05-01 01:05:36.752599,eu-eeas-sanctions.215,,,,Filipīnu Komunistiskā partija,2018-04-12 07:35:39.588288
,,,,,,2018-05-01 01:05:36.769277,eu-eeas-sanctions.215,,,,Filipinų komunistų partija,2018-04-12 07:35:39.629804
,,,,,,2018-05-01 01:05:36.836155,eu-eeas-sanctions.215,,,,Fülöp-szigeteki Kommunista Párt,2018-04-12 07:35:39.646384
,,,,,,2018-05-01 01:05:36.917693,eu-eeas-sanctions.215,,,,Komunistyczna Partia Filipin,2018-04-12 07:35:39.663053
,,,,,,2018-05-01 01:05:36.959330,eu-eeas-sanctions.215,,,,Partido Comunista das Filipinas,2018-04-12 07:35:39.679793
,,,,,,2018-05-01 01:05:36.377147,eu-eeas-sanctions.201,,,,Organización Revolucionaria de los Musulmanes Socialistas,2018-04-12 07:35:40.032616
,,,,,,2018-05-01 01:05:36.569120,eu-eeas-sanctions.201,,,,Setembro Negro,2018-04-12 07:35:40.399314
,,,,,,2018-05-01 01:05:36.585825,eu-eeas-sanctions.201,,,,Organização Revolucionária dos Muçulmanos Socialistas,2018-04-12 07:35:40.455214
,,,,,,2018-05-01 01:05:36.696043,eu-eeas-sanctions.201,,,,Fatah-Revolutionsrat,2018-04-12 07:35:40.471851
,,,,,,2018-05-01 01:05:36.727703,eu-eeas-sanctions.201,,,,Arabische Revolutionäre Brigaden,2018-04-12 07:35:40.488462
,,,,,,2018-05-01 01:05:36.418613,eu-eeas-sanctions.222,,,,Den lysande stigen,2018-04-12 07:35:38.973713
,,,,,,2018-05-01 01:08:04.133458,eu-eeas-sanctions.524,,,,Akhund,2018-04-12 07:35:40.955132
,,,,,,2018-05-01 01:08:04.229096,eu-eeas-sanctions.524,,,,Allahdad,2018-04-12 07:35:41.057619
,,,,,,2018-05-01 01:05:36.568910,eu-eeas-sanctions.329,,,,Rede de Osama bin Laden,2018-04-12 07:35:40.690887
,,,,,,2018-05-01 01:08:05.055958,eu-eeas-sanctions.529,,,,"Amin, Muhammad",2018-04-12 07:35:40.596223
,,,,,,2018-05-01 01:05:36.585646,eu-eeas-sanctions.329,,,,Organização de Osama bin Laden,2018-04-12 07:35:40.707456
,,,,,,2018-05-01 01:05:36.695918,eu-eeas-sanctions.329,,,,Usama Bin Laden Organization,2018-04-12 07:35:40.763369
,,,,,,2018-05-01 01:05:36.727303,eu-eeas-sanctions.329,,,,Osama bin Laden-Netzwerk,2018-04-12 07:35:40.779985
,,,,,,2018-05-01 01:05:36.743987,eu-eeas-sanctions.329,,,,Osama bin Laden-Organisation,2018-04-12 07:35:40.796644
,,,,,,2018-05-01 01:05:36.760628,eu-eeas-sanctions.329,,,,La Base,2018-04-12 07:35:40.857726
,,,,,,2018-05-01 01:05:36.827411,eu-eeas-sanctions.329,,,,Usamah bin Laden Network,2018-04-12 07:35:40.874228
,,,,,,2018-05-01 01:05:36.844338,eu-eeas-sanctions.329,,,,Usamah bin Laden Organisation,2018-04-12 07:35:40.890901
,,,,,,2018-05-01 01:05:36.585646,eu-eeas-sanctions.364,,,,Al-Jihad,2018-04-12 07:35:40.530174
,,,,,,2018-05-01 01:05:38.044086,eu-eeas-sanctions.485,,,,Al Wafa Organisation,2018-04-12 07:35:40.024333
,,,,,,2018-05-01 01:05:38.061863,eu-eeas-sanctions.485,,,,Wafa Al-Igatha Al-Islamia,2018-04-12 07:35:40.080050
,,,,,,2018-05-01 01:05:38.121828,eu-eeas-sanctions.485,,,,Organização Humanitária Wafa,2018-04-12 07:35:40.163404
,,,,,,2018-05-01 01:05:38.138510,eu-eeas-sanctions.485,,,,Organização Al Wafa,2018-04-12 07:35:40.180063
,,,,,,2018-05-01 01:05:38.155218,eu-eeas-sanctions.485,,,,L'organisation humanitaire de Wafa,2018-04-12 07:35:40.204797
Saqr,Al-Jaddawi,,,,,2018-05-01 01:08:04.961007,eu-eeas-sanctions.533,,,,Saqr Al-Jaddawi,2018-04-12 07:35:40.187709
Saqar,Al Jadawi,,,,,2018-05-01 01:08:04.981085,eu-eeas-sanctions.533,,,,Saqar Al Jadawi,2018-04-12 07:35:40.204333
Saqar,Aljawadi,,,,,2018-05-01 01:08:04.997400,eu-eeas-sanctions.533,,,,Saqar Aljawadi,2018-04-12 07:35:40.279629
Salem,Hamdan,,,,,2018-05-01 01:08:05.064007,eu-eeas-sanctions.533,,,Ahmed Salem,Salem Ahmed Salem Hamdan,2018-04-12 07:35:40.398633
,,,,,,2018-05-01 01:08:05.622865,eu-eeas-sanctions.545,,,,Arefullah Aref,2018-04-12 07:35:43.583402
,,,,,,2018-05-01 01:05:36.744279,eu-eeas-sanctions.201,,,,Schwarzer September,2018-04-12 07:35:40.505044
,,,,,,2018-05-01 01:05:36.760977,eu-eeas-sanctions.201,,,,Revolutionäre Organisation der Sozialistischen Moslems,2018-04-12 07:35:40.521777
,,,,,,2018-05-01 01:05:36.827735,eu-eeas-sanctions.201,,,,Fatah Revolutionaire Raad,2018-04-12 07:35:40.538366
,,,,,,2018-05-01 01:05:36.844395,eu-eeas-sanctions.201,,,,Arabische Revolutionaire Brigades,2018-04-12 07:35:40.596813
,,,,,,2018-05-01 01:05:36.951077,eu-eeas-sanctions.201,,,,Zwarte September,2018-04-12 07:35:40.613414
,,,,,,2018-05-01 01:05:36.967792,eu-eeas-sanctions.201,,,,Revolutionaire Organisatie van Socialistische Moslims,2018-04-12 07:35:40.674474
,,,,,,2018-05-01 01:05:36.984378,eu-eeas-sanctions.201,,,,Consiglio rivoluzionario Fatah,2018-04-12 07:35:40.691114
,,,,,,2018-05-01 01:05:37.044596,eu-eeas-sanctions.201,,,,Brigate rivoluzionarie arabe,2018-04-12 07:35:40.707717
,,,,,,2018-05-01 01:05:36.951012,eu-eeas-sanctions.329,,,,Αλ Κάιντα,2018-04-12 07:35:40.955113
,,,,,,2018-05-01 01:05:36.967517,eu-eeas-sanctions.329,,,,Αλ Κάιντα/Ισλαμικός στρατός,2018-04-12 07:35:40.971726
,,,,,,2018-05-01 01:05:36.984142,eu-eeas-sanctions.329,,,,Ισλαµικό Ίδρυµα Σωτηρίας,2018-04-12 07:35:41.041110
,,,,,,2018-05-01 01:05:37.044252,eu-eeas-sanctions.329,,,,Όµιλος για τη Διαφύλαξη των Αγίων Τόπων,2018-04-12 07:35:41.057653
,,,,,,2018-05-01 01:05:36.976150,eu-eeas-sanctions.215,,,,Komunistická strana Filipín,2018-04-12 07:35:39.262928
,,,,,,2018-05-01 01:05:36.992529,eu-eeas-sanctions.206,,,,Groupe islamique,2018-04-12 07:35:42.232624
,,,,,,2018-05-01 01:05:37.052863,eu-eeas-sanctions.206,,,,Islāma grupa,2018-04-12 07:35:42.249337
,,,,,,2018-05-01 01:05:37.061267,eu-eeas-sanctions.201,,,,Settembre nero,2018-04-12 07:35:40.763559
,,,,,,2018-05-01 01:05:37.126345,eu-eeas-sanctions.201,,,,Organizzazione rivoluzionaria dei musulmani socialisti,2018-04-12 07:35:40.780186
,,,,,,2018-05-01 01:09:54.862941,eu-eeas-sanctions.928,,,,Abu Obeida,2018-04-12 07:35:48.198465
,,,,,,2018-05-01 01:10:00.025866,eu-eeas-sanctions.3188,,,,Ignace,2018-04-12 07:35:56.449939
Mounir,El Moutassadeq,,,,,2018-05-01 01:09:54.441001,eu-eeas-sanctions.967,,,,Mounir El Moutassadeq,2018-04-12 07:35:52.384666
,,,,,,2018-05-01 01:05:37.060913,eu-eeas-sanctions.329,,,,Ισλαµικός Στρατός για την Απελευθέρωση των Αγίων Τόπων,2018-04-12 07:35:41.074367
,,,,,,2018-05-01 01:09:54.025797,eu-eeas-sanctions.937,,,,Zakariya,2018-04-12 07:35:48.642091
,,,,,,2018-05-01 01:05:37.061087,eu-eeas-sanctions.217,,,,Palästinensischer Islamischer Dschihad,2018-04-12 07:35:38.456326
,,,,,,2018-05-01 01:05:37.142734,eu-eeas-sanctions.217,,,,Palæstinensisk Islamisk Jihad,2018-04-12 07:35:38.489659
,,,,,,2018-05-01 01:05:37.159597,eu-eeas-sanctions.217,,,,Palestijnse Islamitische Jihad,2018-04-12 07:35:38.506290
,,,,,,2018-05-01 01:05:37.176398,eu-eeas-sanctions.217,,,,Jihad islamica palestinese,2018-04-12 07:35:38.522883
,,,,,,2018-05-01 01:05:37.237373,eu-eeas-sanctions.217,,,,Palestinský islámský džihád,2018-04-12 07:35:38.539554
,,,,,,2018-05-01 01:05:37.117656,eu-eeas-sanctions.206,,,,Islamo grupė,2018-04-12 07:35:42.316076
,,,,,,2018-05-01 01:05:37.126197,eu-eeas-sanctions.329,,,,∆ίκτυο του Οσάµα Μπιν Λάντεν,2018-04-12 07:35:41.130155
,,,,,,2018-05-01 01:05:37.134541,eu-eeas-sanctions.206,,,,Iszlám Csoport,2018-04-12 07:35:42.332661
,,,,,,2018-05-01 01:05:37.151232,eu-eeas-sanctions.206,,,,Grupa Islamska,2018-04-12 07:35:42.349415
,,,,,,2018-05-01 01:05:37.142701,eu-eeas-sanctions.329,,,,armée islamique,2018-04-12 07:35:41.147437
,,,,,,2018-05-01 01:05:37.159474,eu-eeas-sanctions.329,,,,la base,2018-04-12 07:35:41.241177
,,,,,,2018-05-01 01:05:37.150986,eu-eeas-sanctions.481,,,,AQIM,2018-04-12 07:35:52.818003
,,,,,,2018-05-01 01:09:54.250591,eu-eeas-sanctions.965,,,,Zouheir Al Maghribi,2018-04-12 07:35:51.426068
,,,,,,2018-05-01 01:10:00.317883,eu-eeas-sanctions.3480,,,,TITE,2018-04-12 07:35:57.511851
,,,,,,2018-05-01 01:05:37.168099,eu-eeas-sanctions.206,,,,Islamská skupina,2018-04-12 07:35:42.416067
,,,,,,2018-05-01 01:10:00.882970,eu-eeas-sanctions.3187,,,,Radja,2018-04-12 07:35:56.300016
,,,,,,2018-05-01 01:05:37.176044,eu-eeas-sanctions.329,,,,Fondation du salut islamique,2018-04-12 07:35:41.257817
Hamed,Al-Ali,,,Dr,,2018-05-01 01:10:00.731670,eu-eeas-sanctions.4140,,,Abdullah,Hamed Abdullah Al-Ali,2018-04-12 07:36:11.213773
,,,,,,2018-05-01 01:05:37.229246,eu-eeas-sanctions.206,,,,islamistična skupina,2018-04-12 07:35:42.432670
,,,,,,2018-05-01 01:05:37.301816,eu-eeas-sanctions.206,,,,Ислямска група,2018-04-12 07:35:42.449388
,,,,,,2018-05-01 01:05:37.237337,eu-eeas-sanctions.329,,,,Groupe pour la préservation des lieux saints,2018-04-12 07:35:41.274443
,,,,,,2018-05-01 01:05:37.301747,eu-eeas-sanctions.329,,,,Armée islamique pour la libération des lieux saints,2018-04-12 07:35:41.330172
,,,,,,2018-05-01 01:09:50.898048,eu-eeas-sanctions.926,,,,Mostafa Kamel Mostafa,2018-04-12 07:35:49.314636
,,,,,,2018-05-01 01:05:37.301839,eu-eeas-sanctions.217,,,,Palestiina Islami Džihaad,2018-04-12 07:35:38.556347
,,,,,,2018-05-01 01:05:37.326714,eu-eeas-sanctions.217,,,,Palesztin Iszlám Dzsihád,2018-04-12 07:35:38.572976
,,,,,,2018-05-01 01:05:37.343365,eu-eeas-sanctions.217,,,,Palestīniešu Islāma Jihad,2018-04-12 07:35:38.635293
,,,,,,2018-05-01 01:05:37.359917,eu-eeas-sanctions.217,,,,Palestinos islamo Jihad,2018-04-12 07:35:38.687309
,,,,,,2018-05-01 01:05:37.429686,eu-eeas-sanctions.217,,,,Palestyński Islamski Dżihad,2018-04-12 07:35:38.703959
,,,,,,2018-05-01 01:05:37.493539,eu-eeas-sanctions.217,,,,Palestínsky islamský džihád,2018-04-12 07:35:38.720640
,,,,,,2018-05-01 01:05:37.326561,eu-eeas-sanctions.329,,,,Front islamique mondial pour le Jihad contre les Juifs et les croisés,2018-04-12 07:35:41.346845
,,,,,,2018-05-01 01:05:37.326686,eu-eeas-sanctions.206,,,,Grupul Islamic,2018-04-12 07:35:42.465980
,,,,,,2018-05-01 01:05:37.351677,eu-eeas-sanctions.206,,,,Grupp Islamiku,2018-04-12 07:35:42.482649
,,,,,,2018-05-01 01:05:37.421327,eu-eeas-sanctions.206,,,,Dżama’a al-Islamija,2018-04-12 07:35:42.499408
,,,,,,2018-05-01 01:05:37.351806,eu-eeas-sanctions.329,,,,Réseau d'Oussama ben Laden,2018-04-12 07:35:41.407985
,,,,,,2018-05-01 01:05:37.421174,eu-eeas-sanctions.329,,,,Organisation d'Oussama ben Laden,2018-04-12 07:35:41.424459
,,,,,,2018-05-01 01:05:37.437893,eu-eeas-sanctions.201,,,,Sotsialistlike Moslemite Revolutsiooniline Organisatsioon,2018-04-12 07:35:41.074547
,,,,,,2018-05-01 01:05:37.577294,eu-eeas-sanctions.201,,,,Fatah Revolucionārā Padome,2018-04-12 07:35:41.146926
,,,,,,2018-05-01 01:05:37.437670,eu-eeas-sanctions.329,,,,Παγκόσµιο Ισλαµικό Μέτωπο για τον Ιερό Πόλεµο (Τζιχάντ) κατά των Εβραίων και Σταυροφόρων,2018-04-12 07:35:41.441077
,,,,,,2018-05-01 01:05:37.501667,eu-eeas-sanctions.329,,,,Al Qa’ida,2018-04-12 07:35:41.505321
,,,,,,2018-05-01 01:05:37.576915,eu-eeas-sanctions.329,,,,Η Βάση,2018-04-12 07:35:41.521863
,,,,,,2018-05-01 01:05:37.593416,eu-eeas-sanctions.329,,,,Ал Кайда,2018-04-12 07:35:41.538508
,,,,,,2018-05-01 01:05:37.610250,eu-eeas-sanctions.329,,,,базата,2018-04-12 07:35:41.599486
,,,,,,2018-05-01 01:05:37.676777,eu-eeas-sanctions.329,,,,Al Qa’ida/ Ислямска армия,2018-04-12 07:35:41.616188
,,,,,,2018-05-01 01:05:37.693762,eu-eeas-sanctions.329,,,,Фондация за спасение на исляма,2018-04-12 07:35:41.632748
,,,,,,2018-05-01 01:05:37.437768,eu-eeas-sanctions.206,,,,Al-Dżama’a al-Islamija,2018-04-12 07:35:42.566076
,,,,,,2018-05-01 01:05:37.577103,eu-eeas-sanctions.326,,,,Al Harakat Al Islamiyya,2018-04-12 07:35:39.904970
,,,,,,2018-05-01 01:10:10.826841,eu-eeas-sanctions.7062,,,,GORT,2018-04-12 07:36:40.765208
,,,,,,2018-05-01 01:05:37.535563,eu-eeas-sanctions.217,,,,Palestinski islamski džihad,2018-04-12 07:35:38.737287
,,,,,,2018-05-01 01:05:37.585225,eu-eeas-sanctions.217,,,,Palestinska islamiska Jihad,2018-04-12 07:35:38.753982
,,,,,,2018-05-01 01:05:37.602133,eu-eeas-sanctions.217,,,,Палестински ислямски джихад,2018-04-12 07:35:38.823347
,,,,,,2018-05-01 01:10:04.672475,eu-eeas-sanctions.6017,,,,Qazi Abdullah,2018-04-12 07:36:17.185341
,,,,,,2018-05-01 01:10:01.877851,eu-eeas-sanctions.4290,,,,SEP,2018-04-12 07:36:13.596498
,,,,,,2018-05-01 01:05:37.593845,eu-eeas-sanctions.201,,,,Arābu Revolucionārās brigādes,2018-04-12 07:35:41.163630
Mahir,Al-Assad,,,,,2018-05-01 01:10:05.841488,eu-eeas-sanctions.6303,,,,Mahir Al-Assad,2018-04-12 07:36:21.831728
,,,,,,2018-05-01 01:05:37.668635,eu-eeas-sanctions.217,,,,Jihadul Islamic Palestinian,2018-04-12 07:35:38.839831
,,,,,,2018-05-01 01:05:37.685550,eu-eeas-sanctions.217,,,,JIP,2018-04-12 07:35:38.856483
,,,,,,2018-05-01 01:05:37.710447,eu-eeas-sanctions.217,,,,Il-Jihad Islamika Palestinjana,2018-04-12 07:35:38.873175
,,,,,,2018-05-01 01:05:38.036183,eu-eeas-sanctions.327,,,,Comité de Apoio ao Afeganistão,2018-04-12 07:35:39.006583
