entity_id,description,__last_seen,place,country_code,country_name,quality,__first_seen
worldpresidentsdb.31c97e943684a86c815f840940f07768d9806b19,,2018-04-26 08:30:36.926697,"Nairobi, Kenya Colony",,,,2018-04-12 07:35:37.914914
worldpresidentsdb.95a95e78f66bd57d737c7104985988a7de44d041,,2018-04-26 08:30:50.450863,"Salo, Finland",,,,2018-04-12 07:35:41.265792
worldpresidentsdb.cbf2a66b92b5e8ed04b33572a3873f04cc347f20,,2018-04-26 08:30:50.567551,"Santiago de Compostela, Spain",,,,2018-04-12 07:35:43.416968
worldpresidentsdb.b2bcd5397c9d694c895193efc0e89fe6cefc8ee0,,2018-04-26 08:30:50.843093,Singapore,,,,2018-04-12 07:35:43.898152
worldpresidentsdb.f6d7e0cd2fc0e5082a89c0c26b974f545c801245,,2018-04-26 08:30:50.450977,Leningrad (now Saint Petersburg),,,,2018-04-12 07:35:43.190664
worldpresidentsdb.85ec14ebdec9e71a4b98cf4ff149676fe4e518da,,2018-04-26 08:30:50.709583,"Beijing, China",,,,2018-04-12 07:35:44.067096
worldpresidentsdb.d0208b1f074bbcabff63d790868cd1eda378dcc0,,2018-04-26 08:30:50.766779,"Ottawa, Ontario, Canada",,,,2018-04-12 07:35:43.498754
worldpresidentsdb.d7a647007f467e2bfd06daf64de72e60a073c5ed,,2018-04-26 08:30:50.592628,"Florence, Italy",,,,2018-04-12 07:35:43.608367
worldpresidentsdb.b11102a150f208d618bb9f1cc0f5573c0ea0576f,,2018-04-26 08:30:49.375631,Geoje,,,,2018-04-12 07:35:40.313188
worldpresidentsdb.86243af902a91c2c779775495d0bbe9b77482fd2,,2018-04-26 08:30:50.716467,"Lisbon, Portugal",,,,2018-04-12 07:35:41.968178
worldpresidentsdb.9027d6083ddc27548de62e6be4c9df32fd4ef363,,2018-04-26 08:30:50.725988,"Sydney, New South Wales, Australia",,,,2018-04-12 07:35:41.807341
worldpresidentsdb.7aa6e0e6832784c4afb7487fb23acc19bd2adce8,,2018-04-26 08:30:07.168991,"Safed, British Palestine",,,,2018-04-12 07:35:36.113844
worldpresidentsdb.29283df0a2787054e1925e563223a0f76ba9c030,,2018-04-26 08:30:07.169034,"Damascus, United Arab Republic",,,,2018-04-12 07:35:36.819414
worldpresidentsdb.9a0cdae3c43434f1e5a2c5c13103005bf66f4fbb,,2018-04-26 08:30:07.273009,"Cairo, Egypt",,,,2018-04-12 07:35:36.922426
worldpresidentsdb.e71ae9b0d6ca2433d469c86c52d92d08b6c96efa,,2018-04-26 08:30:07.281142,"Hamilton, New Zealand",,,,2018-04-12 07:35:36.963721
worldpresidentsdb.5f7dd700750c8bd4cad5c484e1a6dd3ca5dace34,,2018-04-26 08:30:07.264265,"Riyadh, Saudi Arabia",,,,2018-04-12 07:35:35.238503
